BlaStork,WhiStork,HB,BlackKite,RedKite,WhiteTE,GriffonV,BlackV,ShortTE,Mar,Hen,Pal,Mon,Goshawk,EurasianSH,LevantSH,CommonBuz,StepBuz,LongLB,RoughLB,LesserSE,GreaterSE,SteppeE,ImperialE,GoldenE,Osprey,CommonKes,RedFF,Merlin,Hobby,Peregrine,EurasianCrane,StockD,WoodP,Roller,TurtleD,ShortEO,WhiteP,DalmatianP,EgyptianV,BootedE,LesserKes,EleonoraF,LannerF,SakerF,DemCrane,CrestedHB,Hobby_RedFF,Kestrel_SPEC,LargeFALCON,MonPalHen,Buzzard_SPEC,SparrowH_SPEC,Stork_SPEC,SPH_Goshawk,Harrier_SPEC,LargeEAGLE,Falcon_SPEC,MediumRaptor,Raptor_SPEC,Pernis_SPEC
Stork_SPEC,Stork_SPEC,Buzzard_SPEC,MediumRaptor,MediumRaptor,WhiteTE,GriffonV,BlackV,MediumRaptor,Harrier_SPEC,MonPalHen,MonPalHen,MonPalHen,SPH_Goshawk,SPH_Goshawk,SPH_Goshawk,Buzzard_SPEC,Buzzard_SPEC,Buzzard_SPEC,Buzzard_SPEC,LargeEAGLE,LargeEAGLE,LargeEAGLE,LargeEAGLE,LargeEAGLE,Raptor_SPEC,Kestrel_SPEC,Hobby_RedFF,Falcon_SPEC,Hobby_RedFF,LargeFALCON,Crane_SPEC,StockD,WoodP,Roller,TurtleD,ShortEO,WhiteP,DalmatianP,Raptor_SPEC,MediumRaptor,Kestrel_SPEC,Falcon_SPEC,LargeFALCON,LargeFALCON,Crane_SPEC,Pernis_SPEC,Hobby,CommonKes,Peregrine,Mon,HB,EurasianSH,WhiStork,Goshawk,MonPalHen,LesserSE,LargeFALCON,BootedE,BlackKite,CrestedHB
BlaStork,WhiStork,MediumRaptor,Raptor_SPEC,Raptor_SPEC,Raptor_SPEC,Raptor_SPEC,Raptor_SPEC,Raptor_SPEC,MediumRaptor,Harrier_SPEC,Harrier_SPEC,Harrier_SPEC,Raptor_SPEC,SparrowH_SPEC,SparrowH_SPEC,MediumRaptor,MediumRaptor,MediumRaptor,MediumRaptor,Raptor_SPEC,Raptor_SPEC,Raptor_SPEC,Raptor_SPEC,Raptor_SPEC,Osprey,Falcon_SPEC,Falcon_SPEC,Raptor_SPEC,Falcon_SPEC,Falcon_SPEC,EurasianCrane,,,,,,,,EgyptianV,Raptor_SPEC,Falcon_SPEC,Raptor_SPEC,Falcon_SPEC,Falcon_SPEC,DemCrane,CrestedHB,RedFF,LesserKes,SakerF,Pal,StepBuz,LevantSH,BlaStork,EurasianSH,Mon,GreaterSE,Peregrine,HB,BootedE,HB
,,Raptor_SPEC,BlackKite,RedKite,,,,ShortTE,Raptor_SPEC,MediumRaptor,MediumRaptor,MediumRaptor,Goshawk,Raptor_SPEC,Raptor_SPEC,Raptor_SPEC,Raptor_SPEC,Raptor_SPEC,Raptor_SPEC,LesserSE,GreaterSE,SteppeE,ImperialE,GoldenE,,Raptor_SPEC,Raptor_SPEC,Merlin,Raptor_SPEC,Raptor_SPEC,,,,,,,,,,BootedE,Raptor_SPEC,EleonoraF,Raptor_SPEC,Raptor_SPEC,,,Falcon_SPEC,Falcon_SPEC,LannerF,Hen,CommonBuz,SPH_Goshawk,Stork_SPEC,LevantSH,Pal,SteppeE,SakerF,CommonBuz,Buzzard_SPEC,Pernis_SPEC
,,HB,,,,,,,Mar,Raptor_SPEC,Raptor_SPEC,Raptor_SPEC,,EurasianSH,LevantSH,CommonBuz,StepBuz,LongLB,RoughLB,,,,,,,CommonKes,RedFF,,Hobby,Peregrine,,,,,,,,,,,LesserKes,,LannerF,SakerF,,,Raptor_SPEC,Raptor_SPEC,Falcon_SPEC,Harrier_SPEC,RoughLB,SparrowH_SPEC,,SparrowH_SPEC,Hen,ImperialE,LannerF,RoughLB,CommonBuz,
,,,,,,,,,,Hen,Pal,Mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hobby_RedFF,Kestrel_SPEC,Raptor_SPEC,MediumRaptor,CrestedHB,,,Raptor_SPEC,Mar,GoldenE,Hobby_RedFF,StepBuz,CommonKes,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LargeFALCON,Raptor_SPEC,LongLB,,,SPH_Goshawk,MediumRaptor,Raptor_SPEC,Hobby,CrestedHB,CrestedHB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MonPalHen,MediumRaptor,,,,Raptor_SPEC,LargeEAGLE,RedFF,LongLB,EleonoraF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raptor_SPEC,,,,Harrier_SPEC,,LesserKes,BlackKite,EurasianSH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buzzard_SPEC,,,,,,CommonKes,RedKite,Falcon_SPEC,
