date,timestamp,countid,telpost,speciesname,speciesid,count,countback,local,age,sex,plumage,remark,location,migtype,counttype,year,yday
2011-08-17,,530189,1048,BootedE,592,3,0,0,,,,,,,,2011,229
2011-08-17,,530189,1048,BlaStork,31,3,0,0,,,,,,,,2011,229
2011-08-17,,530189,1048,HB,86,69,0,0,,,,,,,,2011,229
2011-08-17,,530189,1048,BlaKite,88,2,0,0,,,,,,,,2011,229
2011-08-17,,530189,1048,Mar,95,3,0,0,,,,,,,,2011,229
2011-08-17,,530189,1048,Mon,98,2,0,0,,,,,,,,2011,229
2011-08-17,,530190,1047,BlaKite,88,1,0,0,,,,,,,,2011,229
2011-08-17,,530190,1047,Buz/HonBuz,999,1,0,0,,,,,,,,2011,229
2011-08-17,,530190,1047,"raptor sp.",997,1,0,0,,,,,,,,2011,229
2011-08-17,,530190,1047,BootedE,592,5,0,0,,,,,,,,2011,229
2011-08-17,,530190,1047,MonPalHen,1102,1,0,0,,,,,,,,2011,229
2011-08-17,,530190,1047,Mon,98,2,0,0,,,,,,,,2011,229
2011-08-17,,530190,1047,Mar,95,2,0,0,,,,,,,,2011,229
2011-08-17,,530190,1047,HB,86,25,0,0,,,,,,,,2011,229
2011-08-18,,530393,1048,Mar,95,3,0,0,,,,,,,,2011,230
2011-08-18,,530393,1048,ShortTE,94,1,0,0,,,,,,,,2011,230
2011-08-18,,530393,1048,HB,86,139,0,0,,,,,,,,2011,230
2011-08-18,,530393,1048,BootedE,592,3,0,0,,,,,,,,2011,230
2011-08-18,,530393,1048,"Eagle sp.",591,1,0,0,,,,,,,,2011,230
2011-08-19,,530681,1048,BlaKite,88,2,0,0,,,,,,,,2011,231
2011-08-19,,530681,1048,HB,86,60,0,0,,,,,,,,2011,231
2011-08-19,,530681,1048,LesserSE,105,1,0,0,,,,,,,,2011,231
2011-08-19,,530681,1048,BootedE,592,7,0,0,,,,,,,,2011,231
2011-08-19,,530681,1048,"raptor sp.",997,5,0,0,,,,,,,,2011,231
2011-08-20,,531513,1048,"harrier sp",584,1,0,0,,,,,,,,2011,232
2011-08-20,,531513,1048,"raptor sp.",997,1,0,0,,,,,,,,2011,232
2011-08-20,,531513,1048,BlaKite,88,16,0,0,,,,,,,,2011,232
2011-08-20,,531513,1048,LesserSE,105,1,0,0,,,,,,,,2011,232
2011-08-20,,531513,1048,Mon,98,1,0,0,,,,,,,,2011,232
2011-08-20,,531513,1048,Mar,95,4,0,0,,,,,,,,2011,232
2011-08-20,,531513,1048,BootedE,592,4,0,0,,,,,,,,2011,232
2011-08-20,,531513,1048,HB,86,153,0,0,,,,,,,,2011,232
2011-08-21,,531514,1048,BlaKite,88,14,0,0,,,,,,,,2011,233
2011-08-21,,531514,1048,falconsp,602,1,0,0,,,,,,,,2011,233
2011-08-21,,531514,1048,Mon,98,3,0,0,,,,,,,,2011,233
2011-08-21,,531514,1048,BootedE,592,9,0,0,,,,,,,,2011,233
2011-08-21,,531514,1048,Mar,95,6,0,0,,,,,,,,2011,233
2011-08-21,,531514,1048,HB,86,146,0,0,,,,,,,,2011,233
2011-08-21,,531515,1047,Peregrine,115,1,0,0,,,,,,,,2011,233
2011-08-21,,531515,1047,HB,86,1093,0,0,,,,,,,,2011,233
2011-08-21,,531515,1047,BlaKite,88,13,0,0,,,,,,,,2011,233
2011-08-21,,531515,1047,Mar,95,2,0,0,,,,,,,,2011,233
2011-08-21,,531515,1047,Mon,98,2,0,0,,,,,,,,2011,233
2011-08-21,,531515,1047,BootedE,592,10,0,0,,,,,,,,2011,233
2011-08-21,,531515,1047,falconsp,602,2,0,0,,,,,,,,2011,233
2011-08-19,,531616,1047,ShortTE,94,1,0,0,,,,,,,,2011,231
