date,timestamp,countid,telpost,speciesname,speciesid,count,countback,local,location,age,sex,plumage,counttype,migtype,remark
2008-08-21,10:57:00,,1,HB,,1,,,E3,,,,,,
2008-08-21,11:00:00,,1,HB,,1,,,E3,,,,,,
2008-08-21,11:00:00,,1,LUID,,1,,,E3,,,,,,
2008-08-21,11:07:00,,1,Mar,,1,,,E2,juv,,,,,
2008-08-21,11:10:00,,1,Mar,,1,,,E2,,FC,,,,
2008-08-21,11:17:00,,1,HB,,1,,,E2,,,,,,
2008-08-21,11:19:00,,1,BE,,1,,,E2,,,,,,
2008-08-21,11:20:00,,1,HB,,2,,,E3,,,,,,
2008-08-21,11:20:00,,1,MUID,,1,,,E3,,,,,,
2008-08-21,11:32:00,,1,HB,,1,,,E3,,,,,,
2008-08-21,12:00:00,,1,HB,,3,,,E2,,,,,,
2008-08-21,12:06:00,,1,MonPal,,1,,,E2,,FC,,,,
2008-08-21,12:12:00,,1,HB,,2,,,E2,,,,,,
2008-08-21,12:17:00,,1,BE,,1,,,E2,,,,,,
2008-08-21,12:35:00,,1,HB,,5,,,E2,,,,,,
2008-08-21,12:35:00,,1,SPH,,2,,,E2,,,,,,
2008-08-21,12:36:00,,1,HB,,1,,,E2,,,,,,
2008-08-21,12:45:00,,1,HB,,2,,,E3,,,,,,
2008-08-21,13:13:00,,1,MUID,,1,,,E3,,,,,,
2008-08-21,13:40:00,,1,Mon,,1,,,E1,Ad,f,,,,
2008-08-21,13:40:00,,1,Mon,,2,,,E1,Ad,m,,,,
2008-08-21,13:55:00,,1,SB,,1,,,E2,,,,,,
2008-08-21,13:57:00,,1,LSPH,,1,,,W2,,,,,,
2008-08-21,14:18:00,,1,HB,,3,,,E3,,,,,,
2008-08-21,14:23:00,,1,HB,,3,,,E3,,,,,,
2008-08-21,14:23:00,,1,Mon,,2,,,E3,Ad,m,,,,
2008-08-21,14:30:00,,1,SB,,2,,,E2,,,,,,
2008-08-21,14:37:00,,1,HB,,1,,,E2,,,,,,
2008-08-21,14:37:00,,1,STE,,1,,,E2,,,,,,
2008-08-21,14:40:00,,1,MonPal,,1,,,E2,,FC,,,,
2008-08-21,14:43:00,,1,HB,,1,,,E2,,,,,,
2008-08-21,14:49:00,,1,HB,,44,,,E3,,,,,,
2008-08-21,14:52:00,,1,HB,,11,,,E3,,,,,,
2008-08-21,15:07:00,,1,HB,,1,,,E1,,,,,,
2008-08-21,15:09:00,,1,BE,,1,,,E2,,,,,,
2008-08-21,15:09:00,,1,HB,,2,,,E2,,,,,,
2008-08-21,15:14:00,,1,WS,,12,,,E2,,,,,,
2008-08-21,15:15:00,,1,SB,,1,,,E2,,,,,,
2008-08-21,15:17:00,,1,Mon,,1,,,W1,Ad,f,,,,
2008-08-21,15:17:00,,1,Mon,,2,,,W1,Ad,m,,,,
2008-08-21,15:27:00,,1,BE,,1,,,E2,,,,,,
2008-08-21,15:27:00,,1,HB,,4,,,E2,,,,,,
2008-08-21,15:27:00,,1,Mar,,1,,,E2,juv,,,,,
2008-08-21,15:28:00,,1,Mon,,1,,,E2,Ad,m,,,,
2008-08-21,15:35:00,,1,HB,,31,,,E2,,,,,,
2008-08-21,15:42:00,,1,HB,,2,,,E2,,,,,,
2008-08-21,15:43:00,,1,BE,,1,,,E2,,,,,,
2008-08-21,15:51:00,,1,BE,,1,,,E1,,,,,,
2008-08-21,16:03:00,,1,HB,,12,,,E2,,,,,,
2008-08-21,16:05:00,,1,HB,,4,,,E2,,,,,,
2008-08-21,16:05:00,,1,HB,,22,,,E2,,,,,,
2008-08-21,16:05:00,,1,HB,,4,,,E2,,,,,,
2008-08-21,16:05:00,,1,MonPal,,1,,,E2,,,,,,
2008-08-21,16:06:00,,1,HB,,9,,,E2,,,,,,
2008-08-21,16:06:00,,1,MonPal,,1,,,E2,Ad,m,,,,
2008-08-21,16:10:00,,1,Mon,,1,,,E2,Ad,f,,,,
2008-08-21,16:10:00,,1,Mon,,1,,,E2,Ad,m,,,,
2008-08-21,16:10:00,,1,MonPal,,1,,,E2,,,,,,
2008-08-21,16:14:00,,1,HB,,3,,,E2,,,,,,
2008-08-21,16:14:00,,1,HB,,1,,,E2,,,,,,
2008-08-21,16:14:00,,1,Mon,,2,,,E2,,,,,,
2008-08-21,16:23:00,,1,HB,,15,,,E2,,,,,,
2008-08-21,16:27:00,,1,Mar,,1,,,E1,imm,,,,,
2008-08-21,16:34:00,,1,BE,,2,,,E1,,,,,,
2008-08-21,16:39:00,,1,HB,,1,,,E3,,,,,,
2008-08-21,16:40:00,,1,Mar,,1,,,E1,Ad,m,,,,
2008-08-21,16:45:00,,1,BE,,1,,,E1,,,,,,
2008-08-21,16:45:00,,1,HB,,3,,,E2,,,,,,
2008-08-21,16:47:00,,1,Harspec,,2,,,E2,,,,,,
2008-08-21,16:52:00,,1,MUID,,5,,,E2,,,,,,
2008-08-21,16:53:00,,1,HB,,1,,,E2,,,,,,
2008-08-21,16:55:00,,1,MUID,,11,,,E2,,,,,,
2008-08-21,17:08:00,,1,MUID,,1,,,E3,,,,,,
2008-08-21,17:10:00,,1,HB,,2,,,E2,,,,,,
2008-08-21,17:10:00,,1,Mar,,2,,,E2,,FC,,,,
2008-08-21,17:10:00,,1,Mar,,1,,,E2,,,,,,
2008-08-21,17:12:00,,1,MonPal,,1,,,E2,,FC,,,,
2008-08-21,17:13:00,,1,MonPal,,1,,,E2,,,,,,
2008-08-21,17:14:00,,1,Mon,,2,,,E2,Ad,m,,,,
2008-08-21,17:14:00,,1,MonPal,,2,,,E2,,,,,,
2008-08-22,09:54:00,,1,Mar,,1,,,O,juv,,,,,
2008-08-22,09:55:00,,1,Mar,,2,,,E2,,FC,,,,
2008-08-22,10:05:00,,2,HB,,1,,,O,,,,,,
2008-08-22,10:05:00,,1,MonPal,,4,,,E3,,,,,,
2008-08-22,10:05:00,,2,MonPal,,1,,,O,,,,,,
2008-08-22,10:12:00,,2,Mon,,1,,,W3,,,,,,
2008-08-22,10:13:00,,1,BE,,3,,,E3,,,,,,
2008-08-22,10:28:00,,1,MonPal,,2,,,E2,,FC,,,,
2008-08-22,10:32:00,,1,Osp,,1,,,E1,,,,,,
2008-08-22,10:35:00,,2,HB,,6,,,O,,,,,,
