date,timestamp,countid,telpost,speciesname,speciesid,count,countback,local,age,sex,plumage,remark,location,migtype,counttype,year,yday
2010-08-18,,941678,1047,Mar,95,2,0,0,,,,,,,,2010,230
2010-08-18,,941678,1047,HB,86,89,0,0,,,,,,,,2010,230
2010-08-18,,941678,1047,"large FALCON",1151,1,0,0,,,,,,,,2010,230
2010-08-19,,941679,1047,"large FALCON",1151,1,0,0,,,,,,,,2010,231
2010-08-19,,941679,1047,Hobby,113,1,0,0,,,,,,,,2010,231
2010-08-19,,941679,1047,HB,86,1937,0,0,,,,,,,,2010,231
2010-08-19,,941679,1047,Goshawk,99,1,0,0,,,,,,,,2010,231
2010-08-19,,941679,1047,Kestrel,110,1,0,0,,,,,,,,2010,231
2010-08-19,,941679,1047,BootedE,592,1,0,0,,,,,,,,2010,231
2010-08-19,,941679,1047,BlaKite,88,5,0,0,,,,,,,,2010,231
2010-08-19,,941679,1047,Roller,255,2,0,0,,,,,,,,2010,231
2010-08-19,,941679,1047,Mar,95,4,0,0,,,,,,,,2010,231
2010-08-19,,941679,1047,LevantS,1019,1,0,0,,,,,,,,2010,231
2010-08-19,,941679,1047,MediumRaptor,1150,447,0,0,,,,,,,,2010,231
2010-08-20,,941680,1047,Mon,98,1,0,0,,,,,,,,2010,232
2010-08-20,,941680,1047,BlaKite,88,18,0,0,,,,,,,,2010,232
2010-08-20,,941680,1047,BlaStork,31,3,0,0,,,,,,,,2010,232
2010-08-20,,941680,1047,BootedE,592,1,0,0,,,,,,,,2010,232
2010-08-20,,941680,1047,BootedE,592,2,0,0,,,,,,,,2010,232
2010-08-20,,941680,1047,HB,86,263,0,0,,,,,,,,2010,232
2010-08-20,,941680,1047,LSE/GSP/SE,1103,1,0,0,,,,,,,,2010,232
2010-08-20,,941680,1047,MediumRaptor,1150,284,0,0,,,,,,,,2010,232
2010-08-21,,941681,1047,Osprey,109,1,0,0,,,,,,,,2010,233
2010-08-21,,941681,1047,BlaKite,88,1,0,0,,,,,,,,2010,233
2010-08-21,,941681,1047,HB,86,131,0,0,,,,,,,,2010,233
2010-08-21,,941681,1047,Mar,95,1,0,0,,,,,,,,2010,233
