date,timestamp,countid,telpost,speciesname,speciesid,count,countback,local,age,sex,plumage,remark,location,migtype,counttype,year,yday
2009-08-21,,941633,1047,HB,86,1,0,0,,,,,,,,2009,233
2009-08-21,,941633,1047,Peregrine,115,1,0,0,,,,,,,,2009,233
2009-08-21,,941633,1047,Roller,255,1,0,0,,,,,,,,2009,233
2009-08-22,,941634,1047,BlaKite,88,1,0,0,,,,,,,,2009,234
2009-08-22,,941634,1047,BlaStork,31,1,0,0,,,,,,,,2009,234
2009-08-22,,941634,1047,Mon,98,1,0,0,,,,,,,,2009,234
2009-08-22,,941634,1047,"harrier sp",584,2,0,0,,,,,,,,2009,234
2009-08-22,,941634,1047,Buz/HonBuz,999,273,0,0,,,,,,,,2009,234
2009-08-22,,941634,1047,HB,86,143,0,0,,,,,,,,2009,234
2009-08-22,,941634,1047,Mar,95,4,0,0,,,,,,,,2009,234
2009-08-23,,941635,1047,HB,86,931,0,0,,,,,,,,2009,235
2009-08-23,,941635,1047,MediumRaptor,1150,2,0,0,,,,,,,,2009,235
2009-08-23,,941635,1047,Roller,255,15,0,0,,,,,,,,2009,235
2009-08-23,,941635,1047,Buz/HonBuz,999,321,0,0,,,,,,,,2009,235
2009-08-23,,941635,1047,BootedE,592,4,0,0,,,,,,,,2009,235
2009-08-23,,941635,1047,BlaKite,88,8,0,0,,,,,,,,2009,235
2009-08-23,,941635,1047,StepBuz,102,1,0,0,,,,,,,,2009,235
2009-08-23,,941635,1047,SparrowH,100,1,0,0,,,,,,,,2009,235
2009-08-23,,941635,1047,Mar,95,2,0,0,,,,,,,,2009,235
2009-08-24,,941636,1047,HB,86,8211,0,0,,,,,,,,2009,236
2009-08-24,,941636,1047,Hobby,113,1,0,0,,,,,,,,2009,236
2009-08-24,,941636,1047,SparrowH,100,4,0,0,,,,,,,,2009,236
2009-08-24,,941636,1047,Buz/HonBuz,999,4387,0,0,,,,,,,,2009,236
2009-08-24,,941636,1047,BootedE,592,10,0,0,,,,,,,,2009,236
2009-08-24,,941636,1047,BlaKite,88,9,0,0,,,,,,,,2009,236
2009-08-24,,941636,1047,Mar,95,8,0,0,,,,,,,,2009,236
2009-08-24,,941636,1047,StepBuz,102,5,0,0,,,,,,,,2009,236
2009-08-24,,941636,1047,LevantS/Sparrow,1101,2,0,0,,,,,,,,2009,236
2009-08-24,,941636,1047,Roller,255,2,0,0,,,,,,,,2009,236
2009-08-24,,941636,1047,Osprey,109,1,0,0,,,,,,,,2009,236
2009-08-24,,941636,1047,Mon,98,1,0,0,,,,,,,,2009,236
2009-08-24,,941636,1047,LSE/GSP/SE,1103,1,0,0,,,,,,,,2009,236
2009-08-25,,941637,1047,HB,86,5693,0,0,,,,,,,,2009,237
2009-08-25,,941637,1047,Hobby,113,1,0,0,,,,,,,,2009,237
2009-08-25,,941637,1047,Mar,95,19,0,0,,,,,,,,2009,237
2009-08-25,,941637,1047,MediumRaptor,1150,2,0,0,,,,,,,,2009,237
2009-08-25,,941637,1047,Mon,98,42,0,0,,,,,,,,2009,237
2009-08-25,,941637,1047,MonPalHen,1102,56,0,0,,,,,,,,2009,237
2009-08-25,,941637,1047,Roller,255,96,0,0,,,,,,,,2009,237
2009-08-25,,941637,1047,LevantS/Sparrow,1101,7,0,0,,,,,,,,2009,237
2009-08-25,,941637,1047,BlaKite,88,25,0,0,,,,,,,,2009,237
2009-08-25,,941637,1047,BlaStork,31,1,0,0,,,,,,,,2009,237
2009-08-25,,941637,1047,BootedE,592,19,0,0,,,,,,,,2009,237
2009-08-25,,941637,1047,Buz/HonBuz,999,1847,0,0,,,,,,,,2009,237
2009-08-25,,941637,1047,Kestrel,110,1,0,0,,,,,,,,2009,237
2009-08-25,,941637,1047,falconsp,602,1,0,0,,,,,,,,2009,237
2009-08-25,,941637,1047,"harrier sp",584,10,0,0,,,,,,,,2009,237
2009-08-26,,941638,1047,WhiStork,32,3,0,0,,,,,,,,2009,238
2009-08-26,,941638,1047,BootedE,592,77,0,0,,,,,,,,2009,238
2009-08-26,,941638,1047,Buz/HonBuz,999,850,0,0,,,,,,,,2009,238
2009-08-26,,941638,1047,SparrowH,100,4,0,0,,,,,,,,2009,238
2009-08-26,,941638,1047,falconsp,602,1,0,0,,,,,,,,2009,238
2009-08-26,,941638,1047,"harrier sp",584,5,0,0,,,,,,,,2009,238
2009-08-26,,941638,1047,HB,86,19135,0,0,,,,,,,,2009,238
2009-08-26,,941638,1047,Hobby,113,2,0,0,,,,,,,,2009,238
2009-08-26,,941638,1047,LevantS,1019,26,0,0,,,,,,,,2009,238
2009-08-26,,941638,1047,BlaStork,31,3,0,0,,,,,,,,2009,238
2009-08-26,,941638,1047,BlaKite,88,104,0,0,,,,,,,,2009,238
2009-08-26,,941638,1047,Mar,95,12,0,0,,,,,,,,2009,238
2009-08-26,,941638,1047,MediumRaptor,1150,114,0,0,,,,,,,,2009,238
