date,timestamp,countid,telpost,speciesname,speciesid,count,countback,local,location,age,sex,plumage,counttype,migtype,remark,BE_flock
2012-08-18,11:35:00,,2,BS,,2,,,W2,Ad,,,,,,
2012-08-18,12:04:00,,2,WS,,2,,,E3,,,,,,,
2012-08-18,12:17:00,,2,HB,,1,,,E2,,,,,,,
2012-08-18,12:23:00,,2,ShortTE,,1,,,E2,Non-juv,,,,,,
2012-08-18,12:31:00,,2,HB,,2,,,E1,,,,,,,
2012-08-18,12:34:00,,2,HB,,2,,,E1,,,,,,,
2012-08-18,12:40:00,,2,HB,,1,,,E2,Ad,,,,,,
2012-08-18,12:48:00,,2,HB,,2,,,E2,Ad,,,,,,
2012-08-18,12:56:00,,2,HB,,1,,,O,,,,,,,
2012-08-18,13:00:00,,2,HB,,7,,,E2,,,,,,,
2012-08-18,13:00:00,,2,HB,,1,,,O,,,,,,,
2012-08-18,13:00:00,,2,HBad,,1,,,O,,,,,,,
2012-08-18,13:16:00,,2,Mar,,1,,,W2,Non-juv,FC,,,,,
2012-08-18,13:23:00,,2,HB,,1,,,W1,,,,,,,
2012-08-18,13:30:00,,2,HB,,1,,,E1,Ad,,,,,,
2012-08-18,13:30:00,,2,HB,,2,,,E1,Juv,,,,,,
2012-08-18,13:53:00,,2,HB,,5,,,W2,,,,,,,
2012-08-18,14:18:00,,2,HB,,2,,,W2,,,,,,,
2012-08-18,14:36:00,,2,HB,,1,,,W2,,,,,,,
2012-08-18,14:47:00,,2,HB,,4,,,O,,,,,,,
2012-08-18,14:48:00,,2,HBad,,4,,,O,,,,,,,
2012-08-18,14:49:00,,2,HB,,1,,,O,,,,,,,
2012-08-18,14:53:00,,2,BK,,1,,,W2,,,,,,,
2012-08-18,15:08:00,,2,BED,,1,,,W2,,,,,,,NAS
2012-08-18,15:53:00,,2,HBad,,2,,,O,,,,,,,
2012-08-18,15:54:00,,2,HBad,,2,,,W1,,,,,,,
2012-08-18,16:10:00,,2,HB,,1,,,W2,,,,,,,
2012-08-18,16:23:00,,2,HB,,1,,,E2,,,,,,,
2012-08-18,16:23:00,,2,HBad,,1,,,E2,,,,,,,
2012-08-18,16:39:00,,2,HB,,3,,,W1,,,,,,,
2012-08-18,16:56:00,,2,HB,,2,,,W2,,,,,,,
2012-08-18,17:34:00,,2,HB,,13,,,E2,,,,,,,
2012-08-19,10:20:00,,1,HB,,2,,,E2,,,,,,,
2012-08-19,10:21:00,,1,HB,,5,,,E3,,,,,,,
2012-08-19,10:41:00,,1,BS,,4,,,E2,,,,,,,
2012-08-19,10:41:00,,1,HB,,3,,,E2,,,,,,,
2012-08-19,10:42:00,,1,HB,,4,,,E2,,,,,,,
2012-08-19,10:46:00,,1,HB,,1,,,E3,,,,,,,
2012-08-19,10:52:00,,1,BED,,1,,,E2,,,,,,,NAS
2012-08-19,10:55:00,,1,HB,,3,,,E2,,,,,,,
2012-08-19,10:56:00,,1,SB,,2,,,E2,,,,,,,
2012-08-19,11:00:00,,1,HB,,2,,,E2,,,,,,,
2012-08-19,11:01:00,,1,SB,,1,,,E2,,,,,,,
2012-08-19,11:03:00,,1,HB,,3,,,E2,,,,,,,
2012-08-19,11:03:00,,1,BEL,,1,,,E2,Non-juv,,,,,,Minority
2012-08-19,11:04:00,,1,SB,,1,,,E2,,,,,,,
2012-08-19,11:16:00,,1,HB,,2,,,E2,,,,,,,
2012-08-19,11:23:00,,1,HB,,1,,,E2,,,,,,,
2012-08-19,11:23:00,,1,BED,,1,,,E2,,,,,,,NAS
2012-08-19,11:28:00,,1,BED,,1,,,E2,Non-juv,,,,,,NAS
2012-08-19,11:28:00,,1,HB,,5,,,E2,,,,,,,
2012-08-19,11:41:00,,1,HB,,3,,,E2,,,,,,,
2012-08-19,11:43:00,,1,HB,,1,,,E2,,,,,,,
2012-08-19,11:47:00,,1,HB,,2,,,E2,,,,,,,
2012-08-19,11:51:00,,1,HB,,1,,,E2,,,,,,,
2012-08-19,11:55:00,,1,HB,,23,,,E2,,,,,,,
2012-08-19,11:58:00,,1,HB,,1,,,E2,,,,,,,
2012-08-19,12:04:00,,1,HB,,3,,,E2,,,,,,,
2012-08-19,12:19:00,,1,HB,,7,,,E3,,,,,,,
2012-08-19,12:20:00,,1,SB,,1,,,E2,,,,,,,
2012-08-19,12:31:00,,1,HB,,7,,,E3,,,,,,,
2012-08-19,12:37:00,,1,HB,,3,,,E3,,,,,,,
2012-08-19,12:47:00,,1,HB,,1,,,E2,,,,,,,
2012-08-19,12:56:00,,1,HBad,,1,,,E2,,F,,,,,
2012-08-19,13:23:00,,1,Mon,,1,,,E1,Ad,M,,,,,
2012-08-19,11:03:00,,2,HBad,,6,,,O,Ad,,,,,,
2012-08-19,11:03:00,,2,BED,,1,,,O,Ad,,,,,,Minority
2012-08-19,11:12:00,,2,BS,,2,,,E2,Juv,,,,,,
2012-08-19,11:13:00,,2,BS,,1,,,E2,Non-juv,,,,,,
2012-08-19,11:17:00,,2,BED,,1,,,W1,Ad,,,,,,NAS
2012-08-19,11:26:00,,2,HBad,,3,,,E1,Ad,M,,,,,
2012-08-19,11:26:00,,2,HBad,,3,,,E1,Ad,F,,,,,
2012-08-19,12:01:00,,2,HBad,,1,,,O,Ad,F,,,,,
2012-08-19,12:04:00,,2,HBad,,2,,,O,Ad,F,,,,,
2012-08-19,12:04:00,,2,HBad,,1,,,O,Ad,M,,,,,
2012-08-19,12:13:00,,2,HB,,1,,,W3,,,,,,,
2012-08-19,12:24:00,,2,HB,,2,,,O,,,,,,,
2012-08-19,12:24:00,,2,HBad,,2,,,O,Ad,F,,,,,
2012-08-19,12:32:00,,2,HBad,,4,,,O,Ad,M,,,,,
2012-08-19,12:32:00,,2,HBad,,3,,,O,Ad,F,,,,,
2012-08-19,12:44:00,,2,BK,,1,,,E2,,,,,,,
2012-08-19,13:46:00,,2,Per,,1,,,O,Imm,,,,,,
2012-08-20,08:49:00,,1,BK,,1,,,W2,,,,,,,
2012-08-20,09:24:00,,1,Mar,,4,,,E1,Ad,M,,,,,
2012-08-20,16:54:00,,1,BK,,1,,,W2,,,,,,,
2012-08-20,08:53:00,,2,Mar,,1,,,W2,Non-juv,F,,,,,
2012-08-20,09:18:00,,2,WS,,69,,,O,,,,,,,
2012-08-20,09:46:00,,2,Mar,,1,,,W2,Imm,M,,,,,
2012-08-20,10:59:00,,2,HB,,6,,,W2,,,,,,,
2012-08-21,06:38:00,,1,BK,,1,,,O,,,,,,,
2012-08-21,06:38:00,,1,BKjuv,,1,,,O,Juv,,,,,,
2012-08-21,06:39:00,,1,Mar,,1,,,O,Juv,,,,,,
2012-08-21,07:30:00,,1,Mar,,1,,,W2,Non-juv,F,,,,,
2012-08-21,08:21:00,,1,Rol,,20,,,O,,,,,,,
2012-08-21,08:26:00,,1,BK,,1,,,W2,,,,,,,
2012-08-21,08:28:00,,1,BKad,,1,,,W2,,,,,,,
2012-08-21,08:28:00,,1,BK,,1,,,W3,,,,,,,
2012-08-21,08:28:00,,1,BKjuv,,1,,,W3,,,,,,,
2012-08-21,08:38:00,,1,Rol,,9,,,E1,,,,,,,
2012-08-21,08:49:00,,1,Mar,,1,,,W2,Juv,,,,,,
2012-08-21,08:50:00,,1,Rol,,3,,,W2,,,,,,,
2012-08-21,09:13:00,,1,Rol,,5,,,W2,,,,,,,
2012-08-21,09:21:00,,1,Rol,,9,,,E2,,,,,,,
2012-08-21,09:26:00,,1,HB,,1,,,E3,,,,,,,
2012-08-21,09:27:00,,1,Rol,,11,,,E2,,,,,,,
2012-08-21,09:39:00,,1,HB,,11,,,E3,,,,,,,
2012-08-21,09:51:00,,1,HB,,1,,,E2,Ad,M,,,,,
2012-08-21,09:56:00,,1,Rol,,3,,,O,,,,,,,
2012-08-21,09:58:00,,1,MonPalHen,,1,,,E2,Juv,,,,,,
2012-08-21,10:14:00,,1,Mon,,1,,,W1,Juv,,,,,,
2012-08-21,10:41:00,,1,SB,,1,,,O,Juv,,,,,,
2012-08-21,10:42:00,,1,Rol,,16,,,O,,,,,,,
