date,timestamp,countid,telpost,speciesname,speciesid,count,countback,local,age,sex,plumage,remark,location,migtype,counttype,year,yday
2016-09-09,06:54:29,1074757,1047,Mar,95,3,0,0,,,,,E3,,,2016,253
2016-09-08,06:54:32,1074461,1047,Mar,95,2,0,0,,,,,E3,,,2016,252
2016-09-09,06:54:34,1074757,1047,MonPalHen,1102,1,0,0,,,,,E2,,,2016,253
2016-09-08,06:54:40,1074461,1047,MonPalHen,1102,5,0,0,,,,,E3,,,2016,252
2016-09-03,06:54:46,1072001,1048,Mar,95,1,0,0,,FC,,,E2,,,2016,247
2016-09-12,06:54:47,1076147,1047,MonPalHen,1102,1,0,0,,,,,E2,,,2016,256
2016-09-08,06:54:51,1074461,1047,MonPalHen,1102,1,0,0,,FC,,,W2,,,2016,252
2016-09-03,06:54:55,1072001,1048,Mar,95,4,0,0,,,,,E2,,,2016,247
2016-09-09,06:55:00,1074705,1048,MonPalHen,1102,1,0,0,,,,,E1,,S,2016,253
2016-09-03,06:55:09,1072001,1048,MonPalHen,1102,24,0,0,,,,,E3,,,2016,247
2016-08-21,06:55:11,1067448,1047,Mon,98,1,0,0,A,M,,,E2,,,2016,234
2016-09-03,06:55:12,1072001,1048,MonPalHen,1102,1,0,0,,,,,E2,,,2016,247
2016-09-11,06:55:32,1075658,1047,MonPalHen,1102,1,0,0,,,,,E2,,,2016,255
2016-08-22,06:55:35,1067705,1047,Mon,98,1,0,0,I,M,,,O,,,2016,235
2016-08-22,06:55:42,1067705,1047,Mon,98,1,0,0,I,F,,,O,,,2016,235
2016-09-09,06:55:54,1074757,1047,MonPalHen,1102,2,0,0,,,,,E3,,,2016,253
2016-09-05,06:56:41,1072840,1048,BlaKite,88,1,0,0,,,,,W2,,,2016,249
2016-09-08,06:56:42,1074461,1047,Mar,95,2,0,0,,,,,E2,,,2016,252
2016-09-08,06:56:50,1074461,1047,MonPalHen,1102,1,0,0,,,,,E3,,,2016,252
2016-09-05,06:56:53,1072840,1048,Mar,95,1,0,0,A,M,,,O,,,2016,249
2016-09-11,06:56:53,1075645,1048,MonPalHen,1102,3,0,0,,,,,E3,,,2016,255
2016-08-25,06:57:00,1068812,1047,Mon,98,1,0,0,A,M,,,E1,,,2016,238
2016-09-05,06:57:01,1072840,1048,Mar,95,1,0,0,A,F,,,O,,,2016,249
2016-09-11,06:57:12,1075645,1048,BlaKite,88,21,0,0,,,,,E2,,,2016,255
2016-09-11,06:57:19,1075645,1048,HB,86,1,0,0,,,,,E2,,,2016,255
2016-09-13,06:57:27,1076557,1047,Mar,95,1,0,0,,FC,,,E3,,,2016,257
2016-09-11,06:57:28,1075658,1047,Mar,95,1,0,0,A,M,,,E1,,,2016,255
2016-09-11,06:57:50,1075658,1047,Mar,95,1,0,0,J,,,,E1,,,2016,255
2016-09-11,06:58:19,1075658,1047,Mar,95,1,0,0,,FC,,,E1,,,2016,255
2016-09-08,06:58:36,1074461,1047,Mon,98,1,0,0,J,,,,E1,,,2016,252
2016-09-08,06:58:43,1074461,1047,Mon,98,1,0,0,Non-Juv,F,,,E1,,,2016,252
2016-09-09,06:58:59,1074757,1047,MonPalHen,1102,3,0,0,,,,,E2,,,2016,253
2016-09-09,06:59:08,1074757,1047,Mon,98,1,0,0,J,,,,W2,,,2016,253
