date,timestamp,countid,telpost,speciesname,speciesid,count,countback,local,age,sex,plumage,remark,location,migtype,counttype,year,yday
2014-08-18,,870600,1047,MonPalHen,1102,11,0,0,,,,,,,,2014,230
2014-08-18,,870600,1047,Mon,98,15,0,0,,,,,,,,2014,230
2014-08-18,,870600,1047,Roller,255,7,0,0,,,,,,,,2014,230
2014-08-18,,870600,1047,"raptor sp.",997,1,0,0,,,,,,,,2014,230
2014-08-18,,870600,1047,BootedE,592,3,0,0,,,,,,,,2014,230
2014-08-18,,870600,1047,StepBuz,102,2,0,0,,,,,,,,2014,230
2014-08-18,,870600,1047,HB,86,12,0,0,,,,,,,,2014,230
2014-08-18,,870600,1047,BlaKite,88,3,0,0,,,,,,,,2014,230
2014-08-18,,870600,1047,ShortTE,94,1,0,0,,,,,,,,2014,230
2014-08-18,,870600,1047,Mar,95,10,0,0,,,,,,,,2014,230
2014-08-17,,870806,1048,Mon,98,1,0,0,,,,,,,,2014,229
2014-08-17,,870806,1048,MonPalHen,1102,2,0,0,,,,,,,,2014,229
2014-08-17,,870806,1048,HB,86,139,0,0,,,,,,,,2014,229
2014-08-17,,870806,1048,WhiStork,32,48,0,0,,,,,,,,2014,229
2014-08-17,,870806,1048,StepBuz,102,8,0,0,,,,,,,,2014,229
2014-08-17,,870806,1048,BlaKite,88,11,0,0,,,,,,,,2014,229
2014-08-17,,870806,1048,ShortTE,94,1,0,0,,,,,,,,2014,229
2014-08-17,,870806,1048,Mar,95,12,0,0,,,,,,,,2014,229
2014-08-20,,870859,1047,HB,86,277,0,0,,,,,,,,2014,232
2014-08-20,,870859,1047,Mon,98,1,0,0,,,,,,,,2014,232
2014-08-20,,870859,1047,MonPalHen,1102,2,0,0,,,,,,,,2014,232
2014-08-20,,870859,1047,BootedE,592,1,0,0,,,,,,,,2014,232
2014-08-20,,870859,1047,Roller,255,44,0,0,,,,,,,,2014,232
2014-08-20,,870859,1047,BlaStork,31,1,0,0,,,,,,,,2014,232
2014-08-20,,870859,1047,WhiStork,32,3,0,0,,,,,,,,2014,232
2014-08-19,,870860,1048,Mar,95,4,0,0,,,,,,,,2014,231
2014-08-19,,870860,1048,BlaKite,88,30,0,0,,,,,,,,2014,231
2014-08-19,,870860,1048,HB,86,1084,0,0,,,,,,,,2014,231
2014-08-19,,870860,1048,BootedE,592,1,0,0,,,,,,,,2014,231
2014-08-19,,870860,1048,StepBuz,102,1,0,0,,,,,,,,2014,231
2014-08-19,,870860,1048,MonPalHen,1102,5,0,0,,,,,,,,2014,231
2014-08-19,,870860,1048,Mon,98,20,0,0,,,,,,,,2014,231
2014-08-21,,872091,1047,Mar,95,1,0,0,,,,,,,,2014,233
2014-08-21,,872091,1047,Roller,255,13,0,0,,,,,,,,2014,233
2014-08-21,,872091,1047,Pal,97,1,0,0,,,,,,,,2014,233
2014-08-21,,872091,1047,BootedE,592,5,0,0,,,,,,,,2014,233
2014-08-21,,872091,1047,BlaKite,88,1,0,0,,,,,,,,2014,233
2014-08-21,,872091,1047,HB,86,516,0,0,,,,,,,,2014,233
2014-08-21,,872111,1048,BlaKite,88,2,0,0,,,,,,,,2014,233
2014-08-21,,872111,1048,HB,86,137,0,0,,,,,,,,2014,233
2014-08-21,,872111,1048,"raptor sp.",997,1,0,0,,,,,,,,2014,233
2014-08-21,,872111,1048,BootedE,592,4,0,0,,,,,,,,2014,233
