"date","timestamp","telpost","speciesname","speciesid","count","countback","local","location","age","sex","plumage","counttype","migtype","remark","yday","year"
"2009-08-21","08:52:00","2","HB",86,1,"","","W1","","","","","","",233,2009
"2009-08-21","08:57:00","2","HB",86,1,"","","E1","","","","","","",233,2009
"2009-08-21","09:13:00","2","HB",86,2,"","","O","","","","","","",233,2009
"2009-08-21","09:13:00","2","Mon",98,2,"","","W1","ad","f","","","","",233,2009
"2009-08-21","09:13:00","2","Mon",98,1,"","","W1","","fc","","","","",233,2009
"2009-08-21","09:13:00","2","Mon",98,1,"","","W1","ad","m","","","","",233,2009
"2009-08-21","09:15:00","2","HB",86,11,"","","E1","","","","","","",233,2009
"2009-08-21","09:15:00","2","Mar",95,2,"","","E1","","","","","","",233,2009
"2009-08-21","09:15:00","2","Mon",98,1,"","","E1","","fc","","","","",233,2009
"2009-08-21","09:15:00","2","Mon",98,1,"","","E1","ad","m","","","","",233,2009
"2009-08-21","09:18:00","2","Mon",98,1,"","","O","imm","m","","","","",233,2009
"2009-08-21","09:20:00","2","HB",86,1,"","","E2","ad","","","","","",233,2009
"2009-08-21","09:22:00","2","HB",86,1,"","","E1","ad","","","","","",233,2009
"2009-08-21","09:22:00","2","HB",86,1,"","","E1","juv","","","","","",233,2009
"2009-08-21","09:25:00","2","HB",86,10,"","","O","","","","","","",233,2009
"2009-08-21","09:28:00","2","BlackKite",88,1,"","","W3","ad","","","","","",233,2009
"2009-08-21","09:31:00","2","HB",86,2,"","","E2","ad","","","","","",233,2009
"2009-08-21","09:33:00","2","HB",86,1,"","","E1","ad","","","","","",233,2009
"2009-08-21","09:34:00","2","HB",86,1,"","","O","ad","f","","","","",233,2009
"2009-08-21","09:36:00","2","CommonBuz",101,1,"","","O","ad","","","","","",233,2009
"2009-08-21","09:36:00","2","HB",86,1,"","","O","juv","","","","","",233,2009
"2009-08-21","09:36:00","2","HB",86,2,"","","O","","","","","","",233,2009
"2009-08-21","09:39:00","2","CommonBuz",101,1,"","","O","","","","","","",233,2009
"2009-08-21","09:46:00","2","EurasianSH",100,1,"","","O","nonjuv","f","","","","",233,2009
"2009-08-21","09:46:00","2","HB",86,2,"","","O","ad","","","","","",233,2009
"2009-08-21","09:47:00","2","HB",86,2,"","","E3","","","","","","",233,2009
"2009-08-21","09:49:00","2","HB",86,3,"","","E3","ad","","","","","",233,2009
"2009-08-21","09:54:00","2","BootedE",592,1,"","","O","","","","","","",233,2009
"2009-08-21","09:59:00","2","HB",86,36,"","","E3","","","","","","",233,2009
"2009-08-21","09:59:00","2","StepBuz",102,2,"","","E3","","","","","","",233,2009
"2009-08-21","10:03:00","2","HB",86,5,"","","E1","","","","","","",233,2009
"2009-08-21","10:09:00","2","HB",86,6,"","","E1","","","","","","",233,2009
"2009-08-21","10:14:00","2","HB",86,16,"","","O","ad","","","","","",233,2009
"2009-08-21","10:16:00","2","Mon",98,2,"","","E2","ad","m","","","","",233,2009
"2009-08-21","10:16:00","2","Mon",98,1,"","","E2","juv","","","","","",233,2009
"2009-08-21","10:17:00","2","HB",86,1,"","","O","ad","","","","","",233,2009
"2009-08-21","10:18:00","2","HB",86,10,"","","O","ad","","","","","",233,2009
"2009-08-21","10:23:00","2","Mon",98,1,"","","O","ad","f","","","","",233,2009
"2009-08-21","10:23:00","2","Mon",98,3,"","","O","nonjuv","m","","","","",233,2009
"2009-08-21","10:23:00","2","Mon",98,2,"","","O","juv","","","","","",233,2009
"2009-08-21","10:24:00","2","Mon",98,4,"","","O","ad","f","","","","",233,2009
"2009-08-21","10:25:00","2","Mon",98,4,"","","O","ad","m","","","","",233,2009
"2009-08-21","10:31:00","2","HB",86,5,"","","O","ad","","","","","",233,2009
"2009-08-21","10:36:00","2","HB",86,27,"","","E2","ad","","","","","",233,2009
"2009-08-21","10:38:00","2","CommonBuz",101,1,"","","O","ad","","","","","",233,2009
"2009-08-21","10:38:00","2","GoldenE",107,1,"","","O","","","","","","",233,2009
"2009-08-21","10:44:00","2","HB",86,55,"","","E1","ad","","","","","",233,2009
"2009-08-21","10:55:00","2","Mon",98,1,"","","O","nonjuv","f","","","","",233,2009
"2009-08-21","10:56:00","2","Mon",98,1,"","","O","nonjuv","f","","","","",233,2009
"2009-08-21","10:56:00","2","Mon",98,1,"","","O","nonjuv","m","","","","",233,2009
"2009-08-21","10:58:00","2","BootedE",592,1,"","","E1","","","","","","",233,2009
"2009-08-21","11:02:00","2","Mon",98,2,"","","O","nonjuv","f","","","","",233,2009
"2009-08-21","11:03:00","2","Mon",98,1,"","","O","nonjuv","m","","","","",233,2009
"2009-08-21","11:04:00","2","HB",86,1,"","","O","ad","","","","","",233,2009
"2009-08-21","11:05:00","2","HB",86,14,"","","E2","ad","","","","","",233,2009
"2009-08-21","11:15:00","1","Peregrine",115,1,"","","E1","","","","","","",233,2009
"2009-08-21","11:16:00","2","Mon",98,1,"","","O","ad","m","","","","",233,2009
"2009-08-21","11:19:00","2","HB",86,1,"","","O","","","","","","",233,2009
"2009-08-21","11:21:00","2","Mar",95,1,"","","O","","","","","","",233,2009
"2009-08-21","11:21:00","2","Mon",98,1,"","","E2","","fc","","","","",233,2009
"2009-08-21","11:31:00","2","HB",86,14,"","","E3","ad","","","","","",233,2009
"2009-08-21","11:34:00","2","HB",86,8,"","","E3","","","","","","",233,2009
"2009-08-21","11:34:00","2","Mon",98,1,"","","E3","nonjuv","f","","","","",233,2009
"2009-08-21","11:34:00","2","Mon",98,1,"","","E3","nonjuv","m","","","","",233,2009
"2009-08-21","11:38:00","2","HB",86,3,"","","E3","","","","","","",233,2009
"2009-08-21","11:38:00","2","Hobby/RedFF",1099,1,"","","E3","","","","","","",233,2009
"2009-08-21","11:38:00","2","Mon",98,1,"","","E3","","","","","","",233,2009
"2009-08-21","12:00:00","1","Roller",255,1,"","","E1","ad","","","","","",233,2009
"2009-08-21","12:15:00","2","HB",86,2,"","","E2","","","","","","",233,2009
"2009-08-21","12:20:00","2","HB",86,3,"","","E1","ad","","","","","",233,2009
"2009-08-21","12:38:00","2","BlaStork",31,1,"","","E3","","","","","","",233,2009
"2009-08-21","12:38:00","2","HB",86,84,"","","E3","","","","","","",233,2009
"2009-08-21","12:42:00","2","Mon",98,1,"","","E2","nonjuv","f","","","","",233,2009
"2009-08-21","12:42:00","2","Mon",98,1,"","","E2","nonjuv","m","","","","",233,2009
"2009-08-21","12:43:00","2","HB",86,13,"","","E2","","","","","","",233,2009
"2009-08-21","13:03:00","2","HB",86,5,"","","E2","","","","","","",233,2009
"2009-08-21","13:08:00","2","HB",86,28,"","","E3","","","","","","",233,2009
"2009-08-21","13:13:00","2","HB",86,2,"","","E3","","","","","","",233,2009
"2009-08-21","13:22:00","2","HB",86,1,"","","E1","","","","","","",233,2009
"2009-08-21","13:23:00","2","HB",86,30,"","","E2","","","","","","",233,2009
"2009-08-21","13:43:00","2","Mar",95,1,"","","E2","","","","","","",233,2009
"2009-08-21","13:49:00","2","HB",86,1,"","","E2","","","","","","",233,2009
"2009-08-21","13:56:00","2","HB",86,2,"","","E3","","","","","","",233,2009
"2009-08-21","14:24:00","2","HB",86,27,"","","E3","","","","","","",233,2009
"2009-08-21","14:27:00","2","HB",86,38,"","","E3","","","","","","",233,2009
"2009-08-21","14:34:00","2","HB",86,42,"","","E3","","","","","","",233,2009
"2009-08-21","16:45:00","1","HB",86,1,"","","E1","","","","","","",233,2009
"2009-08-22","07:37:00","1","Mar",95,2,"","","E1","ad","m","","","","",234,2009
"2009-08-22","08:00:00","2","EurasianSH",100,1,"","","O","","","","","","",234,2009
"2009-08-22","08:40:00","1","Mar",95,1,"","","E1","juv","","","","","",234,2009
"2009-08-22","09:20:00","2","Harrier-SPEC",584,1,"","","E3","nonjuv","f","","","","",234,2009
"2009-08-22","09:20:00","2","HB",86,2,"","","E2","","","","","","",234,2009
"2009-08-22","09:44:00","2","HB",86,1,"","","E2","","","","","","",234,2009
"2009-08-22","09:56:00","2","BlackKite",88,3,"","","E2","ad","","","","","",234,2009
"2009-08-22","09:56:00","2","HB",86,1,"","","E3","","","","","","",234,2009
"2009-08-22","09:59:00","1","Mon",98,1,"","","W1","ad","m","","","","",234,2009
"2009-08-22","10:08:00","2","HB",86,16,"","","E3","","","","","","",234,2009
"2009-08-22","10:10:00","1","HB",86,1,"","","E3","","","","","","",234,2009
"2009-08-22","10:12:00","1","Buzzard-SPEC",586,6,"","","E3","","","","","","",234,2009
"2009-08-22","10:15:00","1","HB",86,2,"","","E3","","","","","","",234,2009
"2009-08-22","10:19:00","2","HB",86,3,"","","E3","","","","","","",234,2009
"2009-08-22","10:25:00","2","CommonBuz",101,1,"","","E3","","","","","","",234,2009
"2009-08-22","10:25:00","2","Harrier-SPEC",584,1,"","","E3","","","","","","",234,2009
"2009-08-22","10:25:00","2","HB",86,5,"","","E3","","","","","","",234,2009
"2009-08-22","10:32:00","2","Goshawk",99,1,"","","E2","","","","","","",234,2009
"2009-08-22","10:34:00","2","CommonBuz",101,1,"","","E3","","","","","","",234,2009
"2009-08-22","10:34:00","2","Mar",95,1,"","","E3","nonjuv","f","","","","",234,2009
"2009-08-22","10:34:00","2","MediumRaptor",1103,1,"","","E3","","","","","","",234,2009
"2009-08-22","10:43:00","2","HB",86,1,"","","E2","juv","","","","","",234,2009
"2009-08-22","10:43:00","2","HB",86,3,"","","E2","","","","","","",234,2009
"2009-08-22","10:43:00","2","MediumRaptor",1103,2,"","","E3","","","","","","",234,2009
"2009-08-22","10:48:00","1","BlaStork",31,1,"","","E3","","","","","","",234,2009
"2009-08-22","10:49:00","1","Harrier-SPEC",584,1,"","","E3","","","","","","",234,2009
"2009-08-22","10:50:00","2","BlaStork",31,1,"","","E2","","","","","","",234,2009
"2009-08-22","10:50:00","2","CommonBuz",101,1,"","","E3","","","","","","",234,2009
"2009-08-22","10:50:00","2","HB",86,1,"","","E1","","","","","","",234,2009
"2009-08-22","10:50:00","2","Hobby/RedFF",1099,1,"","","E3","","","","","","",234,2009
"2009-08-22","10:51:00","1","HB",86,2,"","","E2","ad","","","","","",234,2009
"2009-08-22","11:00:00","1","Mar",95,1,"","","E2","ad","m","","","","",234,2009
"2009-08-22","11:39:00","1","HB",86,1,"","","W1","ad","","","","","",234,2009
"2009-08-22","11:56:00","2","Mar",95,1,"","","E2","nonjuv","m","","","","",234,2009
"2009-08-22","12:11:00","1","HB",86,3,"","","E3","","","","","","",234,2009
"2009-08-22","12:17:00","1","Buzzard-SPEC",586,3,"","","E3","","","","","","",234,2009
"2009-08-22","12:20:00","2","HB",86,19,"","","E2","ad","f","","","","",234,2009
"2009-08-22","12:20:00","2","HB",86,3,"","","E2","ad","m","","","","",234,2009
"2009-08-22","12:24:00","2","HB",86,5,"","","E2","ad","m","","","","",234,2009
"2009-08-22","12:24:00","2","HB",86,46,"","","E2","","","","","","",234,2009
"2009-08-22","12:24:00","2","HB",86,40,"","","E2","","fc","","","","",234,2009
"2009-08-22","12:34:00","1","HB",86,130,"","","E3","","","","","","",234,2009
"2009-08-22","12:40:00","2","HB",86,105,"","","E2","","","","","","",234,2009
"2009-08-22","12:51:00","1","Buzzard-SPEC",586,83,"","","E3","","","","","","",234,2009
"2009-08-22","12:52:00","1","Buzzard-SPEC",586,67,"","","E3","","","","","","",234,2009
"2009-08-22","13:01:00","2","HB",86,93,"","","E3","","","","","","",234,2009
"2009-08-22","13:03:00","1","HB",86,1,"","","E3","ad","","","","","",234,2009
"2009-08-22","13:07:00","1","Buzzard-SPEC",586,5,"","","E3","","","","","","",234,2009
"2009-08-22","13:07:00","2","HB",86,18,"","","E3","","","","","","",234,2009
"2009-08-22","13:08:00","2","HB",86,4,"","","E3","","","","","","",234,2009
"2009-08-22","13:08:00","2","MediumRaptor",1103,1,"","","E3","","","","","","",234,2009
"2009-08-22","13:10:00","1","Buzzard-SPEC",586,8,"","","E3","","","","","","",234,2009
"2009-08-22","13:11:00","1","HB",86,1,"","","E3","","","","","","",234,2009
"2009-08-22","13:17:00","1","Buzzard-SPEC",586,101,"","","E3","","","","","","",234,2009
"2009-08-22","13:17:00","1","Harrier-SPEC",584,1,"","","E3","","","","","","",234,2009
"2009-08-22","13:24:00","1","BlackKite",88,1,"","","W1","","","","","","",234,2009
"2009-08-22","13:24:00","2","HB",86,34,"","","E3","","fc","","","","",234,2009
"2009-08-22","13:44:00","2","HB",86,3,"","","E2","","","","","","",234,2009
"2009-08-22","13:48:00","2","BlackKite",88,1,"","","E3","","","","","","",234,2009
"2009-08-22","13:48:00","2","HB",86,4,"","","E3","","","","","","",234,2009
"2009-08-22","13:50:00","2","Falcon-SPEC",602,0,"","","E3","","","","","","",234,2009
