"date","timestamp","telpost","speciesname","speciesid","count","countback","local","location","age","sex","plumage","counttype","migtype","remark","yday","year"
"2010-08-18","12:45:00","1","HB",86,9,"","","E3","","","","","","",230,2010
"2010-08-18","12:55:00","1","HB",86,30,"","","E3","","","","","","",230,2010
"2010-08-18","13:20:00","1","Mar",95,1,"","","W1","ad","f","","","","active flight",230,2010
"2010-08-18","13:20:00","1","HB",86,1,"","","W2","","","","","","active flight",230,2010
"2010-08-18","15:25:00","1","HB",86,12,"","","E3","juv","","","","","",230,2010
"2010-08-18","15:30:00","1","HB",86,11,"","","E3","","","","","","",230,2010
"2010-08-18","15:35:00","1","LargeFALCON",1150,1,"","","E3","","","","","","big unidentified falcon",230,2010
"2010-08-18","15:35:00","1","HB",86,1,"","","E3","","","","","","",230,2010
"2010-08-18","15:50:00","1","HB",86,4,"","","E3","","","","","","",230,2010
"2010-08-18","16:55:00","1","Mar",95,1,"","","E3","juv","","","","","",230,2010
"2010-08-18","16:55:00","1","HB",86,1,"","","E3","","","","","","",230,2010
"2010-08-18","17:10:00","1","HB",86,3,"","","E3","","","","","","",230,2010
"2010-08-18","17:10:00","1","HB",86,1,"","","E2","","","","","","",230,2010
"2010-08-18","17:50:00","1","HB",86,16,"","","O","","","","","","from the North  going W",230,2010
"2010-08-19","08:45:00","1","Roller",255,2,"","","E1","","","","","","",231,2010
"2010-08-19","10:25:00","1","Kestrel-SPEC",1100,0,"","","E2","","fc","","","","previously 1 - count on impulse but no monitoring this year -  from sea inland",231,2010
"2010-08-19","10:30:00","1","HB",86,1,"","","O","","","","","","And one local SB",231,2010
"2010-08-19","11:50:00","1","HB",86,2,"","","E3","","","","","","",231,2010
"2010-08-19","11:55:00","1","MediumRaptor",1103,2,"","","E2","","","","","","",231,2010
"2010-08-19","12:00:00","1","MediumRaptor",1103,198,"","","E3","","","","","","",231,2010
"2010-08-19","12:00:00","1","HB",86,96,"","","E2","","","","","","",231,2010
"2010-08-19","12:10:00","1","HB",86,135,"","","E2","","","","","","",231,2010
"2010-08-19","12:20:00","1","HB",86,78,"","","E2","","","","","","",231,2010
"2010-08-19","12:30:00","1","HB",86,348,"","","E2","","","","","","",231,2010
"2010-08-19","12:37:00","1","HB",86,41,"","","E2","","","","","","",231,2010
"2010-08-19","12:40:00","1","Hobby",113,0,"","","E1","imm","","","","","previously 1 - count on impulse but no monitoring this year -  Overhead  went east",231,2010
"2010-08-19","12:45:00","1","HB",86,186,"","","E2","","","","","","",231,2010
"2010-08-19","12:50:00","1","BootedE",592,1,"","","W1","","","d","","","",231,2010
"2010-08-19","13:00:00","1","HB",86,179,"","","E2","","","","","","",231,2010
"2010-08-19","13:05:00","1","HB",86,43,"","","E2","","","","","","",231,2010
"2010-08-19","13:12:00","1","HB",86,37,"","","E2","","","","","","",231,2010
"2010-08-19","13:20:00","1","HB",86,63,"","","E2","","","","","","",231,2010
"2010-08-19","13:20:00","1","BlackKite",88,1,"","","E2","","","","","","",231,2010
"2010-08-19","13:30:00","1","HB",86,31,"","","E2","","","","","","",231,2010
