"","id","date","time","species","number_new","number_ori","numberN","station","location","age","sex","morph","ctype","mtype","remark","dckept","dcdel","dcremark"
"65",65,2009-08-21,"11:38:00","HB",3,3,0,2,"E3","","","","","","",0,0,""
"66",66,2009-08-21,"11:38:00","Hobby/RedFF",1,1,0,2,"E3","","","","","","",0,0,""
"67",67,2009-08-21,"11:38:00","Mon",1,1,0,2,"E3","","","","","","",0,0,""
"68",68,2009-08-21,"12:00:00","Roller",1,1,0,1,"E1","ad","","","","","",0,0,""
"69",69,2009-08-21,"12:15:00","HB",2,2,0,2,"E2","","","","","","",0,0,""
"70",70,2009-08-21,"12:20:00","HB",3,3,0,2,"E1","ad","","","","","",0,0,""
"71",71,2009-08-21,"12:38:00","BlaStork",1,1,0,2,"E3","","","","","","",0,0,""
"72",72,2009-08-21,"12:38:00","HB",84,84,0,2,"E3","","","","","","",0,0,""
"73",73,2009-08-21,"12:42:00","Mon",1,1,0,2,"E2","nonjuv","f","","","","",0,0,""
"74",74,2009-08-21,"12:42:00","Mon",1,1,0,2,"E2","nonjuv","m","","","","",0,0,""
"75",75,2009-08-21,"12:43:00","HB",13,13,0,2,"E2","","","","","","",0,0,""
"76",76,2009-08-21,"13:03:00","HB",5,5,0,2,"E2","","","","","","",0,0,""
"77",77,2009-08-21,"13:08:00","HB",28,28,0,2,"E3","","","","","","",0,0,""
"78",78,2009-08-21,"13:13:00","HB",2,2,0,2,"E3","","","","","","",0,0,""
"79",79,2009-08-21,"13:22:00","HB",1,1,0,2,"E1","","","","","","",0,0,""
"80",80,2009-08-21,"13:23:00","HB",30,30,0,2,"E2","","","","","","",0,0,""
"81",81,2009-08-21,"13:43:00","Mar",1,1,0,2,"E2","","","","","","",0,0,""
"82",82,2009-08-21,"13:49:00","HB",1,1,0,2,"E2","","","","","","",0,0,""
"83",83,2009-08-21,"13:56:00","HB",2,2,0,2,"E3","","","","","","",0,0,""
"84",84,2009-08-21,"14:24:00","HB",27,27,0,2,"E3","","","","","","",0,0,""
"85",85,2009-08-21,"14:27:00","HB",38,38,0,2,"E3","","","","","","",0,0,""
"86",86,2009-08-21,"14:34:00","HB",42,42,0,2,"E3","","","","","","",0,0,""
"87",87,2009-08-21,"16:45:00","HB",1,1,0,1,"E1","","","","","","",0,0,""
"88",88,2009-08-22,"07:37:00","Mar",2,2,0,1,"E1","ad","m","","","","",0,0,""
"89",89,2009-08-22,"08:00:00","EurasianSH",1,1,0,2,"O","","","","","","",0,0,""
"90",90,2009-08-22,"08:40:00","Mar",1,1,0,1,"E1","juv","","","","","",0,0,""
"91",91,2009-08-22,"09:20:00","Harrier-SPEC",1,1,0,2,"E3","nonjuv","f","","","","",0,0,""
"92",92,2009-08-22,"09:20:00","HB",2,2,0,2,"E2","","","","","","",0,0,""
"93",93,2009-08-22,"09:44:00","HB",1,1,0,2,"E2","","","","","","",0,0,""
"94",94,2009-08-22,"09:56:00","BlackKite",3,3,0,2,"E2","ad","","","","","",0,0,""
"95",95,2009-08-22,"09:56:00","HB",1,1,0,2,"E3","","","","","","",0,0,""
"96",96,2009-08-22,"09:59:00","Mon",1,1,0,1,"W1","ad","m","","","","",0,0,""
"97",97,2009-08-22,"10:08:00","HB",16,16,0,2,"E3","","","","","","",0,0,""
"98",98,2009-08-22,"10:10:00","HB",1,1,0,1,"E3","","","","","","",0,0,""
"99",99,2009-08-22,"10:12:00","Buzzard-SPEC",6,6,0,1,"E3","","","","","","",0,0,""
"100",100,2009-08-22,"10:15:00","HB",2,2,0,1,"E3","","","","","","",0,0,""
"101",101,2009-08-22,"10:19:00","HB",3,3,0,2,"E3","","","","","","",0,0,""
"102",102,2009-08-22,"10:25:00","CommonBuz",1,1,0,2,"E3","","","","","","",0,0,""
"103",103,2009-08-22,"10:25:00","Harrier-SPEC",1,1,0,2,"E3","","","","","","",0,0,""
"104",104,2009-08-22,"10:25:00","HB",5,5,0,2,"E3","","","","","","",0,0,""
"105",105,2009-08-22,"10:32:00","Goshawk",1,1,0,2,"E2","","","","","","",0,0,""
"106",106,2009-08-22,"10:34:00","CommonBuz",1,1,0,2,"E3","","","","","","",0,0,""
"107",107,2009-08-22,"10:34:00","Mar",1,1,0,2,"E3","nonjuv","f","","","","",0,0,""
"108",108,2009-08-22,"10:34:00","MediumRaptor",1,1,0,2,"E3","","","","","","",0,0,""
"109",109,2009-08-22,"10:43:00","HB",1,1,0,2,"E2","juv","","","","","",0,0,""
"110",110,2009-08-22,"10:43:00","HB",3,3,0,2,"E2","","","","","","",0,0,""
"111",111,2009-08-22,"10:43:00","MediumRaptor",2,2,0,2,"E3","","","","","","",0,0,""
"112",112,2009-08-22,"10:48:00","BlaStork",0,1,0,1,"E3","","","","","","",0,-1,"ID114:1 "
"113",113,2009-08-22,"10:49:00","Harrier-SPEC",1,1,0,1,"E3","","","","","","",0,0,""
"114",114,2009-08-22,"10:50:00","BlaStork",1,1,0,2,"E2","","","","","","",1,0,"ID112:-1 "
"115",115,2009-08-22,"10:50:00","CommonBuz",1,1,0,2,"E3","","","","","","",0,0,""
"116",116,2009-08-22,"10:50:00","HB",1,1,0,2,"E1","","","","","","",0,0,""
"117",117,2009-08-22,"10:50:00","Hobby/RedFF",1,1,0,2,"E3","","","","","","",0,0,""
"118",118,2009-08-22,"10:51:00","HB",2,2,0,1,"E2","ad","","","","","",0,0,""
"119",119,2009-08-22,"11:00:00","Mar",1,1,0,1,"E2","ad","m","","","","",0,0,""
"120",120,2009-08-22,"11:39:00","HB",1,1,0,1,"W1","ad","","","","","",0,0,""
"121",121,2009-08-22,"11:56:00","Mar",1,1,0,2,"E2","nonjuv","m","","","","",0,0,""
"122",122,2009-08-22,"12:11:00","HB",0,3,0,1,"E3","","","","","","",0,-3,"ID124:3 "
"123",123,2009-08-22,"12:17:00","Buzzard-SPEC",3,3,0,1,"E3","","","","","","",0,0,""
"124",124,2009-08-22,"12:20:00","HB",19,19,0,2,"E2","ad","f","","","","",3,0,"ID122:-3 "
"125",125,2009-08-22,"12:20:00","HB",3,3,0,2,"E2","ad","m","","","","",0,0,""
"126",126,2009-08-22,"12:24:00","HB",5,5,0,2,"E2","ad","m","","","","",5,0,"ID129:-5 "
"127",127,2009-08-22,"12:24:00","HB",46,46,0,2,"E2","","","","","","",20,0,"ID129:-20 "
"128",128,2009-08-22,"12:24:00","HB",40,40,0,2,"E2","","fc","","","","",0,0,""
"129",129,2009-08-22,"12:34:00","HB",0,130,0,1,"E3","","","","","","",0,-130,"ID130:105 ID126:5 ID127:20 "
"130",130,2009-08-22,"12:40:00","HB",105,105,0,2,"E2","","","","","","",105,0,"ID129:-105 "
"131",131,2009-08-22,"12:51:00","Buzzard-SPEC",83,83,0,1,"E3","","","","","","",0,0,""
"132",132,2009-08-22,"12:52:00","Buzzard-SPEC",67,67,0,1,"E3","","","","","","",0,0,""
"133",133,2009-08-22,"13:01:00","HB",93,93,0,2,"E3","","","","","","",0,0,""
"134",134,2009-08-22,"13:03:00","HB",1,1,0,1,"E3","ad","","","","","",0,0,""
"135",135,2009-08-22,"13:07:00","Buzzard-SPEC",5,5,0,1,"E3","","","","","","",0,0,""
"136",136,2009-08-22,"13:07:00","HB",18,18,0,2,"E3","","","","","","",0,0,""
"137",137,2009-08-22,"13:08:00","HB",4,4,0,2,"E3","","","","","","",0,0,""
"138",138,2009-08-22,"13:08:00","MediumRaptor",1,1,0,2,"E3","","","","","","",0,0,""
"139",139,2009-08-22,"13:10:00","Buzzard-SPEC",8,8,0,1,"E3","","","","","","",0,0,""
"140",140,2009-08-22,"13:11:00","HB",1,1,0,1,"E3","","","","","","",0,0,""
"141",141,2009-08-22,"13:17:00","Buzzard-SPEC",101,101,0,1,"E3","","","","","","",0,0,""
"142",142,2009-08-22,"13:17:00","Harrier-SPEC",1,1,0,1,"E3","","","","","","",0,0,""
"143",143,2009-08-22,"13:24:00","BlackKite",1,1,0,1,"W1","","","","","","",0,0,""
"144",144,2009-08-22,"13:24:00","HB",34,34,0,2,"E3","","fc","","","","",0,0,""
"145",145,2009-08-22,"13:44:00","HB",3,3,0,2,"E2","","","","","","",0,0,""
"146",146,2009-08-22,"13:48:00","BlackKite",1,1,0,2,"E3","","","","","","",0,0,""
"147",147,2009-08-22,"13:48:00","HB",4,4,0,2,"E3","","","","","","",0,0,""
"148",148,2009-08-22,"13:50:00","Falcon-SPEC",0,0,0,2,"E3","","","","","","",0,0,""
"149",149,2009-08-22,"13:58:00","EurasianSH",1,1,0,2,"E3","","","","","","",0,0,""
"150",150,2009-08-22,"14:22:00","HB",2,2,0,1,"E3","","","","","","",0,0,""
"151",151,2009-08-22,"14:50:00","Mon",1,1,0,2,"E1","ad","m","","","","",0,0,""
"152",152,2009-08-23,"08:00:00","HB",1,1,0,1,"E3","","","","","","",0,0,""
"153",153,2009-08-23,"08:24:00","Roller",2,2,0,1,"O","","","","","","",0,0,""
"154",154,2009-08-23,"08:37:00","BootedE",1,1,0,1,"O","","","","","","",0,0,""
"155",155,2009-08-23,"08:37:00","BlackKite",3,3,0,1,"O","","","","","","",0,0,""
"156",156,2009-08-23,"08:55:00","HB",1,1,0,2,"E3","","fc","","","","",0,0,""
"157",157,2009-08-23,"09:00:00","Roller",7,7,0,1,"E1","","","","","","",0,0,""
"158",158,2009-08-23,"09:11:00","Roller",6,6,0,1,"W1","","","","","","",0,0,""
"159",159,2009-08-23,"09:27:00","Mar",2,2,0,1,"W1","juv","","","","","",0,0,""
"160",160,2009-08-23,"09:40:00","HB",1,1,0,2,"E2","","","","","","",0,0,""
"161",161,2009-08-23,"09:43:00","HB",1,1,0,2,"E2","","","","","","",0,0,""
"162",162,2009-08-23,"09:44:00","BootedE",1,1,0,1,"O","","","","","","",0,0,""
"163",163,2009-08-23,"09:45:00","MediumRaptor",1,1,0,1,"E1","","","","","","",0,0,""
"164",164,2009-08-23,"09:48:00","Harrier-SPEC",1,1,0,2,"E2","","","","","","",0,0,""
"165",165,2009-08-23,"09:48:00","HB",3,3,0,2,"E2","","","","","","",0,0,""
"166",166,2009-08-23,"09:48:00","Mar",1,1,0,2,"E3","","fc","","","","",0,0,""
"167",167,2009-08-23,"09:54:00","HB",3,3,0,2,"E3","","","","","","",0,0,""
"168",168,2009-08-23,"09:54:00","Mar",3,3,0,2,"E3","","fc","","","","",0,0,""
