"","species","dcdel1","dcdel2"
"1","BlackKite",-7757,-6719
"2","BlaStork",-79,-50
"3","BootedE",-124,-151
"4","Buzzard-SPEC",0,0
"5","CrestedHB",0,0
"6","DemCrane",0,0
"7","EgyptianV",0,-1
"8","EurasianSH",0,0
"9","Goshawk",0,0
"10","GreaterSE",0,0
"11","GriffonV",0,-1
"12","Harrier-SPEC",0,0
"13","HB",-1597,-439
"14","HB_AD",0,0
"15","HB_JUV",0,0
"16","Hen",0,-1
"17","Hobby",0,0
"18","Hobby/RedFF",0,0
"19","ImperialE",0,0
"20","Kestrel-SPEC",0,0
"21","LargeEAGLE",-669,-186
"22","LargeFALCON",0,0
"23","LesserKes",0,0
"24","LesserSE",-156,-79
"25","LevantSH",0,0
"26","LongLB",0,0
"27","Mar",-121,-164
"28","MediumRaptor",-229,-302
"29","Merlin",0,0
"30","Mon",-2,-3
"31","MonPalHen",-195,-100
"32","Osprey",0,0
"33","Pal",0,0
"34","Peregrine",0,0
"35","Raptor-SPEC",0,0
"36","RedFF",0,0
"37","Roller",0,-6
"38","SakerF",0,0
"39","ShortEO",0,0
"40","ShortTE",-59,-38
"41","StepBuz",0,0
"42","SteppeE",0,0
"43","Stork-SPEC",0,0
"44","WhiStork",-2,-14
"45","WhiteTE",0,0
