"","species","dcdel1","dcdel2"
"1","BK_JUV",0,0
"2","BK_NONJUV",0,0
"3","BlackKite",-2115,-8419
"4","BlackV",0,0
"5","BlaStork",-99,-86
"6","BootedE",-53,-137
"7","CommonBuz",0,0
"8","CommonKes",0,0
"9","CrestedHB",0,0
"10","EgyptianV",0,0
"11","EurasianCrane",-3,-54
"12","EurasianSH",0,0
"13","GoldenE",0,0
"14","Goshawk",0,0
"15","GreaterSE",-2,-1
"16","GriffonV",0,0
"17","Harrier-SPEC",0,0
"18","HB",-197,-2541
"19","HB_AD",0,0
"20","HB_JUV",0,0
"21","Hen",0,0
"22","Hobby",0,0
"23","Hobby/RedFF",0,0
"24","ImperialE",0,0
"25","Kestrel-SPEC",0,0
"26","LargeEAGLE",-227,-192
"27","LargeFALCON",0,0
"28","LesserKes",0,0
"29","LesserSE",-59,-72
"30","LevantSH",0,-6
"31","LongLB",0,0
"32","Mar",-287,-224
"33","MediumRaptor",-2878,-1275
"34","Merlin",0,0
"35","Mon",-2,-20
"36","MonPalHen",-339,-106
"37","Osprey",-4,-5
"38","Pal",-2,-4
"39","Peregrine",0,-1
"40","RedFF",0,0
"41","Roller",0,-2
"42","RoughLB",0,0
"43","SakerF",0,0
"44","ShortTE",-16,-50
"45","SparrowH-SPEC",0,0
"46","StepBuz",-1330,-5884
"47","SteppeE",0,-8
"48","StockD",0,0
"49","TurtleD",0,0
"50","WhiStork",-104,-17
"51","WhiteP",0,-1
"52","WhiteTE",0,0
"53","WoodP",0,0
