"","species","dcdel1","dcdel2"
"1","BK_JUV",0,0
"2","BK_NONJUV",0,0
"3","BlackKite",-1207,-2959
"4","BlaStork",-4,-11
"5","BootedE",-72,-129
"6","Buzzard-SPEC",0,0
"7","CommonBuz",0,0
"8","CrestedHB",0,0
"9","EgyptianV",0,0
"10","EurasianCrane",0,0
"11","EurasianSH",0,0
"12","GoldenE",0,0
"13","GreaterSE",-1,0
"14","GriffonV",0,0
"15","Harrier-SPEC",0,0
"16","HB",-704,-464
"17","HB_AD",0,0
"18","HB_JUV",0,0
"19","Hen",0,0
"20","Hobby",0,0
"21","ImperialE",0,0
"22","LargeEAGLE",-43,-152
"23","LargeFALCON",0,0
"24","LesserSE",-28,-21
"25","LevantSH",0,-37
"26","LongLB",0,0
"27","Mar",-218,-175
"28","MediumRaptor",-1775,-327
"29","Mon",-6,-4
"30","MonPalHen",-443,-185
"31","Osprey",0,0
"32","Pal",0,-2
"33","Peregrine",0,0
"34","RedFF",0,0
"35","Roller",-1,-15
"36","SakerF",0,0
"37","ShortEO",0,0
"38","ShortTE",-19,-26
"39","StepBuz",-1445,-25749
"40","SteppeE",0,-1
"41","StockD",0,0
"42","TurtleD",0,0
"43","WhiStork",-1,-317
"44","WhiteTE",0,0
"45","WoodP",0,-37
