"date","timestamp","telpost","speciesname","count","countback","local","location","age","sex","plumage","counttype","migtype","remark","yday","year"
"2016-09-03","19:01:00","2","END",1,"0","0","W2","","","","","","",247,2016
"2016-09-04","06:41:00","1","START",1,"0","0","W2","","","","","","",248,2016
"2016-09-04","06:54:00","1","BREAK",1,"0","0","O","","","","","","rain and thunders",248,2016
"2016-09-04","09:36:00","1","RESUME",1,"0","0","O","","","","","","thunder at sea",248,2016
"2016-09-04","12:46:00","1","BREAK",1,"0","0","O","","","","","","constant rain  no visibility",248,2016
"2016-09-04","13:49:00","1","RESUME",1,"0","0","O","","","","","","thunder at sea",248,2016
"2016-09-04","16:01:00","1","BREAK",1,"0","0","O","","","","","","still raining  thunder coming",248,2016
"2016-09-04","16:01:00","1","END",1,"0","0","O","","","","","","",248,2016
"2016-09-04","06:35:00","2","START",1,"0","0","W2","","","","","","",248,2016
"2016-09-04","16:15:00","2","END",1,"0","0","W2","","","","","","",248,2016
"2016-09-04","14:40:00","2","BREAK",1,"0","0","W2","","","","","","rain",248,2016
"2016-09-04","15:55:00","2","RESUME",1,"0","0","W2","","","","","","",248,2016
"2016-09-04","16:15:00","2","BREAK",1,"0","0","W2","","","","","","rain and thunders",248,2016
"2016-09-05","06:52:00","1","START",1,"0","0","E1","","","","","","",249,2016
"2016-09-05","19:05:00","1","END",1,"0","0","E1","","","","","","",249,2016
"2016-09-05","06:39:00","2","START",1,"0","0","E2","","","","","","",249,2016
"2016-09-05","18:52:00","2","END",1,"0","0","E2","","","","","","",249,2016
"2016-09-06","06:42:00","1","START",1,"0","0","E1","","","","","","",250,2016
"2016-09-06","19:18:00","1","END",1,"0","0","E1","","","","","","",250,2016
"2016-09-06","06:42:00","2","START",1,"0","0","E2","","","","","","",250,2016
"2016-09-06","19:05:00","2","END",1,"0","0","E2","","","","","","",250,2016
"2016-09-07","06:42:00","1","START",1,"0","0","O","","","","","","",251,2016
"2016-09-07","17:50:00","1","END",1,"0","0","O","","","","","","",251,2016
"2016-09-07","06:47:00","2","START",1,"0","0","E3","","","","","","",251,2016
"2016-09-07","18:38:00","2","END",1,"0","0","E3","","","","","","",251,2016
"2016-09-08","06:48:00","1","START",1,"0","0","O","","","","","","",252,2016
"2016-09-08","19:39:00","1","END",1,"0","0","O","","","","","","",252,2016
"2016-09-08","06:36:00","2","START",1,"0","0","W2","","","","","","",252,2016
"2016-09-08","18:24:00","2","END",1,"0","0","W2","","","","","","",252,2016
"2016-09-09","06:43:00","1","START",1,"0","0","O","","","","","","",253,2016
"2016-09-09","19:07:00","1","END",1,"0","0","O","","","","","","",253,2016
"2016-09-09","06:37:00","2","START",1,"0","0","W3","","","","","","",253,2016
"2016-09-09","18:20:00","2","END",1,"0","0","W3","","","","","","",253,2016
"2016-09-10","06:44:00","1","START",1,"0","0","O","","","","","","",254,2016
"2016-09-10","19:39:00","1","END",1,"0","0","O","","","","","","",254,2016
"2016-09-10","06:37:00","2","START",1,"0","0","O","","","","","","",254,2016
"2016-09-10","19:37:00","2","END",1,"0","0","O","","","","","","",254,2016
"2016-09-11","06:41:00","1","START",1,"0","0","E3","","","","","","",255,2016
"2016-09-11","19:15:00","1","END",1,"0","0","E3","","","","","","",255,2016
"2016-09-11","19:31:00","2","END",1,"0","0","E3","","","","","","",255,2016
"2016-09-12","06:40:00","1","START",1,"0","0","O","","","","","","",256,2016
"2016-09-12","18:40:00","1","END",1,"0","0","O","","","","","","",256,2016
"2016-09-12","06:40:00","2","START",1,"0","0","O","","","","","","",256,2016
"2016-09-12","19:40:00","2","END",1,"0","0","O","","","","","","",256,2016
"2016-09-13","06:40:00","1","START",1,"0","0","E2","","","","","","",257,2016
"2016-09-13","19:10:00","1","END",1,"0","0","E2","","","","","","",257,2016
"2016-09-13","06:43:00","2","START",1,"0","0","O","","","","","","",257,2016
"2016-09-13","19:26:00","2","END",1,"0","0","O","","","","","","",257,2016
"2016-09-14","06:55:00","1","START",1,"0","0","O","","","","","","",258,2016
"2016-09-14","17:38:00","1","END",1,"0","0","O","","","","","","",258,2016
"2016-09-14","06:57:00","2","START",1,"0","0","E2","","","","","","",258,2016
"2016-09-14","18:08:00","2","END",1,"0","0","E2","","","","","","",258,2016
"2016-09-19","06:52:00","1","START",1,"0","0","O","","","","","","",263,2016
"2016-09-19","17:41:00","1","END",1,"0","0","O","","","","","","",263,2016
"2016-09-19","06:51:00","2","START",1,"0","0","W2","","","","","","",263,2016
"2016-09-19","19:16:00","2","END",1,"0","0","W2","","","","","","",263,2016
"2016-09-18","06:56:00","1","START",1,"0","0","W3","","","","","","",262,2016
"2016-09-18","17:36:00","1","END",1,"0","0","W3","","","","","","",262,2016
"2016-09-18","07:18:00","2","START",1,"0","0","E2","","","","","","",262,2016
"2016-09-18","19:11:00","2","END",1,"0","0","E2","","","","","","",262,2016
"2016-09-15","06:57:00","1","START",1,"0","0","E3","","","","","","",259,2016
"2016-09-15","19:26:00","1","END",1,"0","0","E3","","","","","","",259,2016
"2016-09-15","09:14:00","2","START",1,"0","0","E2","","","","","","",259,2016
"2016-09-15","17:32:00","2","END",1,"0","0","E2","","","","","","",259,2016
"2016-09-16","06:48:00","1","START",1,"0","0","O","","","","","","",260,2016
"2016-09-16","18:45:00","1","END",1,"0","0","O","","","","","","",260,2016
"2016-09-16","07:01:00","2","START",1,"0","0","O","","","","","","",260,2016
"2016-09-16","17:42:00","2","END",1,"0","0","O","","","","","","",260,2016
"2016-09-17","06:59:00","1","START",1,"0","0","W2","","","","","","",261,2016
"2016-09-17","19:00:00","1","END",1,"0","0","W2","","","","","","",261,2016
"2016-09-17","06:50:00","2","START",1,"0","0","E1","","","","","","",261,2016
"2016-09-17","18:44:00","2","END",1,"0","0","E1","","","","","","",261,2016
"2016-09-20","07:05:00","1","START",1,"0","0","E1","","","","","","",264,2016
"2016-09-20","17:36:00","1","END",1,"0","0","E1","","","","","","",264,2016
"2016-09-20","06:51:00","2","START",1,"0","0","O","","","","","","",264,2016
"2016-09-20","19:01:00","2","END",1,"0","0","E2","","","","","","",264,2016
"2016-09-21","07:00:00","1","START",1,"0","0","O","","","","","","",265,2016
"2016-09-21","11:55:00","1","BREAK",1,"0","0","O","","","","","","thunderstorm",265,2016
"2016-09-21","16:15:00","1","RESUME",1,"0","0","O","","","","","","",265,2016
"2016-09-21","17:29:00","1","END",1,"0","0","O","","","","","","",265,2016
"2016-09-21","06:52:00","2","START",1,"0","0","W3","","","","","","",265,2016
"2016-09-21","12:00:00","2","BREAK",1,"0","0","O","","","","","","thunderstorm",265,2016
"2016-09-21","16:00:00","2","RESUME",1,"0","0","O","","","","","","",265,2016
"2016-09-21","16:25:00","2","BREAK",1,"0","0","O","","","","","","",265,2016
"2016-09-21","17:58:00","2","END",1,"0","0","O","","","","","","",265,2016
"2016-09-22","07:00:00","1","START",1,"0","0","E2","","","","","","",266,2016
"2016-09-22","17:24:00","1","END",1,"0","0","E2","","","","","","",266,2016
