"","species","dcdel1","dcdel2"
"1","BlackKite",-5490,-6020
"2","BlackV",0,0
"3","BlaStork",-187,-58
"4","BootedE",-101,-68
"5","Buzzard-SPEC",0,0
"6","CommonBuz",0,0
"7","CommonKes",0,0
"8","EgyptianV",0,-1
"9","EurasianCrane",0,0
"10","EurasianSH",0,-4
"11","Falcon-SPEC",0,0
"12","GoldenE",0,0
"13","Goshawk",0,0
"14","GreaterSE",0,0
"15","GriffonV",0,0
"16","Harrier-SPEC",0,0
"17","HB",-61227,-45948
"18","Hen",0,0
"19","Hobby",0,0
"20","Hobby/RedFF",0,0
"21","ImperialE",0,0
"22","Kestrel-SPEC",0,0
"23","LargeEAGLE",-282,-97
"24","LargeFALCON",0,0
"25","LesserKes",0,0
"26","LesserSE",-25,-26
"27","LevantSH",-13,-54
"28","LongLB",-4,0
"29","Mar",-125,-151
"30","MediumRaptor",-15641,-6575
"31","Merlin",0,0
"32","Mon",-1,-8
"33","MonPalHen",-415,-186
"34","Osprey",0,0
"35","Pal",-4,-2
"36","Peregrine",0,0
"37","Raptor-SPEC",0,0
"38","RedFF",0,0
"39","RedKite",0,0
"40","Roller",-1,-8
"41","RoughLB",0,0
"42","SakerF",0,0
"43","ShortTE",-8,-12
"44","SparrowH-SPEC",0,0
"45","SPH/Goshawk",0,0
"46","StepBuz",-16147,-13631
"47","SteppeE",0,0
"48","Stork-SPEC",0,0
"49","WhiStork",-65,-87
"50","WhiteP",0,0
"51","WhiteTE",0,0
