"","species","dcdel1","dcdel2"
"1","BK_JUV",0,0
"2","BK_NONJUV",0,0
"3","BlackKite",-673,-3300
"4","BlaStork",-2,-54
"5","BootedE",-101,-178
"6","Buzzard-SPEC",0,0
"7","CommonBuz",0,0
"8","CrestedHB",0,0
"9","DalmatianP",-1,0
"10","EgyptianV",0,-1
"11","EurasianCrane",0,0
"12","EurasianSH",0,0
"13","GreaterSE",-2,-5
"14","GriffonV",0,0
"15","Harrier-SPEC",0,0
"16","HB",-347,-716
"17","HB_AD",0,0
"18","HB_JUV",0,0
"19","Hen",0,0
"20","ImperialE",0,0
"21","LargeEAGLE",-76,-53
"22","LargeFALCON",0,0
"23","LesserSE",-15,-91
"24","LevantSH",-20,-41
"25","LongLB",0,0
"26","Mar",-93,-104
"27","MediumRaptor",-1223,-2994
"28","Merlin",0,0
"29","Mon",-7,-10
"30","MonPalHen",-155,-132
"31","Osprey",-2,0
"32","Pal",0,-2
"33","Peregrine",0,0
"34","Pernis_SPEC",0,0
"35","Raptor-SPEC",0,0
"36","RedFF",0,0
"37","Roller",0,0
"38","SakerF",0,0
"39","ShortTE",-18,-38
"40","StepBuz",-242,-2120
"41","SteppeE",-3,-5
"42","StockD",0,0
"43","TurtleD",0,0
"44","WhiStork",0,-4
"45","WhiteTE",0,0
"46","WoodP",0,0
