"","species","dcdel1","dcdel2"
"1","BK_JUV",0,0
"2","BK_NONJUV",0,0
"3","BlackKite",-9127,-8093
"4","BlaStork",-200,-299
"5","BootedE",-211,-320
"6","Buzzard-SPEC",0,0
"7","CommonBuz",0,0
"8","CrestedHB",0,-1
"9","DalmatianP",0,0
"10","EgyptianV",-2,-2
"11","EurasianCrane",-1,0
"12","EurasianSH",0,0
"13","GoldenE",0,0
"14","GreaterSE",-1,-2
"15","GriffonV",0,0
"16","Harrier-SPEC",0,0
"17","HB",-1363,-2334
"18","HB_AD",0,0
"19","HB_JUV",0,0
"20","Hen",0,0
"21","Hobby",0,0
"22","ImperialE",0,0
"23","LargeEAGLE",-364,-169
"24","LargeFALCON",0,0
"25","LesserKes",0,0
"26","LesserSE",-106,-89
"27","LevantSH",0,0
"28","Mar",-534,-475
"29","MediumRaptor",-615,-239
"30","Mon",-20,-28
"31","MonPalHen",-466,-381
"32","Osprey",-4,-6
"33","Pal",-2,-4
"34","Peregrine",0,0
"35","Raptor-SPEC",0,0
"36","RedFF",0,0
"37","Roller",-1,-28
"38","SakerF",0,0
"39","SB_AD",0,0
"40","SB_JUV",0,0
"41","ShortTE",-40,-32
"42","StepBuz",-3090,-5779
"43","SteppeE",-3,-8
"44","StockD",0,0
"45","Stork-SPEC",0,0
"46","TurtleD",0,0
"47","WhiStork",-131,-18
"48","WhiteTE",-1,0
"49","WoodP",0,0
