"","id","date","time","species","number_new","number_ori","numberN","station","location","age","sex","morph","ctype","mtype","remark","dckept","dcdel","dcremark"
"1",1,2008-08-21,"10:57:00","HB",1,1,0,1,"E3","","","","","","",0,0,""
"2",2,2008-08-21,"11:00:00","HB",1,1,0,1,"E3","","","","","","",0,0,""
"3",3,2008-08-21,"11:00:00","LargeEAGLE",1,1,0,1,"E3","","","","","","",0,0,""
"4",4,2008-08-21,"11:07:00","Mar",1,1,0,1,"E2","juv","","","","","",0,0,""
"5",5,2008-08-21,"11:10:00","Mar",1,1,0,1,"E2","","fc","","","","",0,0,""
"6",6,2008-08-21,"11:17:00","HB",1,1,0,1,"E2","","","","","","",0,0,""
"7",7,2008-08-21,"11:19:00","BootedE",1,1,0,1,"E2","","","","","","",0,0,""
"8",8,2008-08-21,"11:20:00","HB",2,2,0,1,"E3","","","","","","",0,0,""
"9",9,2008-08-21,"11:20:00","MediumRaptor",1,1,0,1,"E3","","","","","","",0,0,""
"10",10,2008-08-21,"11:32:00","HB",1,1,0,1,"E3","","","","","","",0,0,""
"11",11,2008-08-21,"12:00:00","HB",3,3,0,1,"E2","","","","","","",0,0,""
"12",12,2008-08-21,"12:06:00","MonPalHen",1,1,0,1,"E2","","fc","","","","",0,0,""
"13",13,2008-08-21,"12:12:00","HB",2,2,0,1,"E2","","","","","","",0,0,""
"14",14,2008-08-21,"12:17:00","BootedE",1,1,0,1,"E2","","","","","","",0,0,""
"15",15,2008-08-21,"12:35:00","HB",5,5,0,1,"E2","","","","","","",0,0,""
"16",16,2008-08-21,"12:35:00","SparrowH-SPEC",2,2,0,1,"E2","","","","","","",0,0,""
"17",17,2008-08-21,"12:36:00","HB",1,1,0,1,"E2","","","","","","",0,0,""
"18",18,2008-08-21,"12:45:00","HB",2,2,0,1,"E3","","","","","","",0,0,""
"19",19,2008-08-21,"13:13:00","MediumRaptor",1,1,0,1,"E3","","","","","","",0,0,""
"20",20,2008-08-21,"13:40:00","Mon",1,1,0,1,"E1","ad","f","","","","",0,0,""
"21",21,2008-08-21,"13:40:00","Mon",2,2,0,1,"E1","ad","m","","","","",0,0,""
"22",22,2008-08-21,"13:55:00","StepBuz",1,1,0,1,"E2","","","","","","",0,0,""
"23",23,2008-08-21,"13:57:00","LevantSH",1,1,0,1,"W2","","","","","","",0,0,""
"24",24,2008-08-21,"14:18:00","HB",3,3,0,1,"E3","","","","","","",0,0,""
