"","species","dcdel1","dcdel2"
"1","BlackKite",-1762,-3992
"2","BlaStork",-52,-24
"3","BootedE",-33,-51
"4","Buzzard-SPEC",0,0
"5","CommonBuz",0,0
"6","CommonKes",0,0
"7","CrestedHB",0,0
"8","EgyptianV",0,0
"9","EurasianCrane",0,0
"10","EurasianSH",-8,-6
"11","Falcon-SPEC",0,0
"12","GoldenE",0,0
"13","Goshawk",0,0
"14","GreaterSE",0,-2
"15","GriffonV",-1,0
"16","Harrier-SPEC",0,0
"17","HB",-32201,-19494
"18","Hen",0,0
"19","Hobby",0,0
"20","Hobby/RedFF",0,0
"21","ImperialE",0,0
"22","Kestrel-SPEC",0,0
"23","LannerF",0,0
"24","LargeEAGLE",-72,-14
"25","LargeFALCON",0,0
"26","LesserKes",0,0
"27","LesserSE",-4,-23
"28","LevantSH",-108,-18
"29","LongLB",0,0
"30","Mar",-75,-74
"31","MediumRaptor",-1330,-779
"32","Merlin",0,0
"33","Mon",-9,-7
"34","MonPalHen",-83,-54
"35","Osprey",-1,0
"36","Pal",0,-1
"37","Peregrine",0,0
"38","Raptor-SPEC",0,0
"39","RedFF",0,0
"40","Roller",0,-19
"41","SakerF",0,0
"42","ShortEO",0,0
"43","ShortTE",-9,-8
"44","SparrowH-SPEC",0,0
"45","StepBuz",-56,-317
"46","SteppeE",0,0
"47","Stork-SPEC",0,0
"48","WhiStork",0,-3
"49","WhiteP",0,0
"50","WhiteTE",0,0
