"date","timestamp","telpost","speciesname","speciesid","count","countback","local","location","age","sex","plumage","counttype","migtype","remark","yday","year"
"2014-08-17","11:05:00","1","BootedE",592,1,"","","O","nonjuv","","d","","","",229,2014
"2014-08-17","12:52:00","1","BootedE",592,1,"","","E2","","","l","","","",229,2014
"2014-08-17","15:46:00","1","BootedE",592,1,"","","W2","","","l","","","",229,2014
"2014-08-17","10:32:00","1","BlackKite",88,1,"","","E1","","","","","","",229,2014
"2014-08-17","12:07:00","2","BlackKite",88,1,"","","W2","","","","","","",229,2014
"2014-08-17","12:20:00","2","BlackKite",88,3,"","","E3","","","","","","",229,2014
"2014-08-17","12:23:00","2","BlackKite",88,1,"","","O","","","","","","",229,2014
"2014-08-17","12:24:00","2","BlackKite",88,1,"","","W2","","","","","","",229,2014
"2014-08-17","12:30:00","1","BlackKite",88,5,"","","E3","","","","","","",229,2014
"2014-08-17","12:36:00","2","BlackKite",88,1,"","","E1","","","","","","",229,2014
"2014-08-17","12:39:00","1","BlackKite",88,1,"","","E2","","","","","","",229,2014
"2014-08-17","13:27:00","2","BlackKite",88,1,"","","W2","","","","","","",229,2014
"2014-08-17","13:30:00","2","BlackKite",88,2,"","","W2","","","","dc","","",229,2014
"2014-08-17","13:33:00","1","BlackKite",88,1,"","","E2","","","","dc","","",229,2014
"2014-08-17","13:34:00","1","BlackKite",88,1,"","","E2","","","","","","",229,2014
"2014-08-17","13:54:00","2","BlackKite",88,1,"","","W2","","","","","","",229,2014
"2014-08-17","14:27:00","1","BlackKite",88,1,"","","E2","","","","","","",229,2014
"2014-08-17","16:00:00","1","BlackKite",88,1,"","","E1","","","","","","",229,2014
"2014-08-17","16:59:00","1","BlackKite",88,1,"","","E2","","","","","","",229,2014
"2014-08-17","12:25:00","2","BK_JUV",-92,1,"","","O","","","","","","",229,2014
"2014-08-17","12:36:00","2","BK_JUV",-92,1,"","","E1","","","","","","",229,2014
"2014-08-17","10:33:00","1","BK_NONJUV",-93,1,"","","E1","","","","","","",229,2014
