"date","timestamp","telpost","speciesname","speciesid","count","countback","local","location","age","sex","plumage","counttype","migtype","remark","yday","year"
"2011-08-17","07:38:00","1","BK_NONJUV",-93,1,"","","W2","","","","","","",229,2011
"2011-08-17","08:41:00","1","MonPalHen",1102,2,"","","E2","","","","","","previously Mon without age and sex - ",229,2011
"2011-08-17","10:01:00","1","LargeFALCON",1150,1,"","","W1","","","","","","",229,2011
"2011-08-17","10:11:00","1","HB",86,1,"","","E2","","","","","","",229,2011
"2011-08-17","10:23:00","1","HB",86,2,"","","","","","","","","",229,2011
"2011-08-17","10:28:00","1","BootedE",592,1,"","","E2","","","","","","",229,2011
"2011-08-17","10:34:00","1","HB",86,4,"","","E3","","","","","","",229,2011
"2011-08-17","11:01:00","1","Buzzard-SPEC",586,1,"","","E2","","","","","","",229,2011
"2011-08-17","11:21:00","1","BootedE",592,1,"","","O","","","l","","","",229,2011
"2011-08-17","11:25:00","1","Mar",95,1,"","","E1","ad","","","","k","",229,2011
"2011-08-17","11:31:00","1","Harrier-SPEC",584,1,"","","W2","","","","","","",229,2011
"2011-08-17","11:52:00","1","HB",86,2,"","","E2","","","","","","",229,2011
"2011-08-17","11:58:00","1","BootedE",592,2,"","","E2","","","d","","","",229,2011
"2011-08-17","11:58:00","1","HB",86,1,"","","E2","","","","","","",229,2011
"2011-08-17","12:01:00","1","HB",86,2,"","","E1","","","","","","",229,2011
"2011-08-17","12:17:00","1","BootedE",592,1,"","","E1","","","d","","","",229,2011
"2011-08-17","12:24:00","1","Mar",95,1,"","","E1","","","","","","",229,2011
"2011-08-17","12:27:00","1","HB",86,4,"","","E1","ad","","","","","",229,2011
"2011-08-17","12:29:00","1","HB_AD",-90,4,"","","E1","","","","","","",229,2011
"2011-08-17","12:42:00","1","HB",86,2,"","","E1","ad","","","","","",229,2011
"2011-08-17","12:44:00","1","HB_AD",-90,2,"","","E1","","","","","","",229,2011
"2011-08-17","13:02:00","1","HB",86,2,"","","E2","","","","","","",229,2011
"2011-08-17","13:06:00","1","HB_AD",-90,1,"","","O","","","","","","",229,2011
"2011-08-17","13:10:00","1","HB_AD",-90,1,"","","O","","","","","","",229,2011
"2011-08-17","13:29:00","1","HB_AD",-90,1,"","","E2","","","","","","",229,2011
"2011-08-17","14:54:00","1","HB",86,1,"","","E2","","","","","","",229,2011
"2011-08-17","15:00:00","1","HB",86,2,"","","E2","","","","","","",229,2011
"2011-08-17","15:59:00","1","HB",86,2,"","","E2","","","","","","",229,2011
"2011-08-17","16:58:00","1","BlackKite",88,1,"","","E1","","","","","","",229,2011
"2011-08-17","16:58:00","1","BK_JUV",-92,1,"","","E1","","","","","","",229,2011
