"","species","dcdel1","dcdel2"
"1","BK_JUV",0,0
"2","BK_NONJUV",0,0
"3","BlackKite",-1518,-2946
"4","BlackV",0,0
"5","BlaStork",-9,-10
"6","BootedE",-43,-82
"7","Buzzard-SPEC",0,0
"8","CommonBuz",0,0
"9","CrestedHB",0,0
"10","EgyptianV",0,0
"11","EleonoraF",0,0
"12","EurasianCrane",0,0
"13","GreaterSE",-1,0
"14","GriffonV",0,0
"15","Harrier-SPEC",0,0
"16","HB",-369,-712
"17","HB_AD",0,0
"18","HB_JUV",0,0
"19","Hen",0,0
"20","ImperialE",0,0
"21","LargeEAGLE",-48,-92
"22","LargeFALCON",0,0
"23","LesserSE",-33,-33
"24","Mar",-119,-116
"25","MediumRaptor",-590,-198
"26","Mon",-15,-88
"27","MonPalHen",-481,-457
"28","Osprey",0,0
"29","Pal",0,-3
"30","Peregrine",0,0
"31","RedKite",0,0
"32","Roller",0,0
"33","SakerF",0,0
"34","ShortEO",0,0
"35","ShortTE",-14,-27
"36","StepBuz",-3422,-2430
"37","SteppeE",0,0
"38","Stork-SPEC",0,0
"39","WhiStork",0,0
"40","WhiteTE",0,0
