"date","timestamp","telpost","speciesname","speciesid","count","countback","local","location","age","sex","plumage","counttype","migtype","remark","yday","year"
"2012-08-18","17:38:00","1","BlaStork",31,4,"","","W3","","","","","","",231,2012
"2012-08-18","08:17:00","2","MonPalHen",1102,1,"","","E2","nonjuv","f","","","","",231,2012
"2012-08-18","08:25:00","2","Mar",95,1,"","","W2","juv","","","","","",231,2012
"2012-08-18","08:29:00","2","HB",86,3,"","","W2","","","","","","",231,2012
"2012-08-18","08:45:00","2","HB",86,1,"","","E3","","","","","","",231,2012
"2012-08-18","08:50:00","2","HB",86,1,"","","E3","","","","","","",231,2012
"2012-08-18","09:48:00","2","ShortTE",94,1,"","","E1","ad","","","","","",231,2012
"2012-08-18","09:55:00","2","HB",86,3,"","","E2","","","","","","",231,2012
"2012-08-18","09:58:00","2","BootedE",592,1,"","","W1","nonjuv","","l","","","",231,2012
"2012-08-18","10:14:00","2","HB",86,1,"","","E2","","","","","","",231,2012
"2012-08-18","10:46:00","2","HB",86,1,"","","E2","","","","","","",231,2012
"2012-08-18","11:15:00","2","HB",86,1,"","","E2","","","","","","",231,2012
"2012-08-18","11:34:00","2","BlaStork",31,2,"","","W2","juv","","","","","",231,2012
"2012-08-18","11:35:00","2","BlaStork",31,2,"","","W2","ad","","","","","",231,2012
"2012-08-18","12:04:00","2","WhiStork",32,2,"","","E3","","","","","","",231,2012
"2012-08-18","12:17:00","2","HB",86,1,"","","E2","","","","","","",231,2012
"2012-08-18","12:23:00","2","ShortTE",94,1,"","","E2","nonjuv","","","","","",231,2012
"2012-08-18","12:31:00","2","HB",86,2,"","","E1","","","","","","",231,2012
"2012-08-18","12:34:00","2","HB",86,2,"","","E1","","","","","","",231,2012
"2012-08-18","12:40:00","2","HB",86,1,"","","E2","ad","","","","","",231,2012
"2012-08-18","12:48:00","2","HB",86,2,"","","E2","ad","","","","","",231,2012
"2012-08-18","12:56:00","2","HB",86,1,"","","O","","","","","","",231,2012
"2012-08-18","13:00:00","2","HB",86,7,"","","E2","","","","","","",231,2012
"2012-08-18","13:00:00","2","HB",86,1,"","","O","","","","","","",231,2012
"2012-08-18","13:00:00","2","HB_AD",-90,1,"","","O","","","","","","",231,2012
"2012-08-18","13:16:00","2","Mar",95,1,"","","W2","nonjuv","f","","","","",231,2012
"2012-08-18","13:23:00","2","HB",86,1,"","","W1","","","","","","",231,2012
"2012-08-18","13:30:00","2","HB",86,1,"","","E1","ad","","","","","",231,2012
"2012-08-18","13:30:00","2","HB",86,2,"","","E1","juv","","","","","",231,2012
"2012-08-18","13:53:00","2","HB",86,5,"","","W2","","","","","","",231,2012
"2012-08-18","14:18:00","2","HB",86,2,"","","W2","","","","","","",231,2012
"2012-08-18","14:36:00","2","HB",86,1,"","","W2","","","","","","",231,2012
"2012-08-18","14:47:00","2","HB",86,4,"","","O","","","","","","",231,2012
"2012-08-18","14:48:00","2","HB_AD",-90,4,"","","O","","","","","","",231,2012
"2012-08-18","14:49:00","2","HB",86,1,"","","O","","","","","","",231,2012
"2012-08-18","14:53:00","2","BlackKite",88,1,"","","W2","","","","","","",231,2012
"2012-08-18","15:08:00","2","BootedE",592,1,"","","W2","","","d","","","",231,2012
