"","id","date","time","species","number_new","number_ori","numberN","station","location","age","sex","morph","ctype","mtype","remark","dckept","dcdel","dcremark"
"1",1,2014-08-17,"07:33:00","Roller",2,2,0,1,"O","","","","","","",0,0,""
"2",2,2014-08-17,"07:42:00","Mon",1,1,0,1,"W1","juv","","","","","",0,0,""
"3",3,2014-08-17,"09:39:00","MonPalHen",1,1,0,2,"E2","","","","","","",0,0,""
"4",4,2014-08-17,"09:50:00","HB_AD",1,1,0,2,"O","","f","","","","",0,0,""
"5",5,2014-08-17,"09:52:00","HB",7,7,0,1,"W3","","","","sc","","",0,0,""
"6",6,2014-08-17,"09:53:00","HB_AD",1,1,0,2,"O","","m","","","","",0,0,""
"7",7,2014-08-17,"10:01:00","HB_AD",1,1,0,2,"O","","m","","","","",0,0,""
"8",8,2014-08-17,"10:06:00","HB",1,1,0,2,"O","","","","","","",0,0,""
"9",9,2014-08-17,"10:14:00","HB",1,1,0,1,"W1","","","","","","",0,0,""
"10",10,2014-08-17,"10:15:00","HB_AD",1,1,0,1,"W1","","m","","","","",0,0,""
"11",11,2014-08-17,"10:28:00","HB",2,2,0,1,"E2","","","","","","",1,0,"ID15:-1 "
"12",12,2014-08-17,"10:32:00","BlackKite",1,1,0,1,"E1","","","","","","",0,0,""
"13",13,2014-08-17,"10:33:00","BK_NONJUV",1,1,0,1,"E1","","","","","","",0,0,""
"14",14,2014-08-17,"10:37:00","StepBuz",1,1,0,1,"W1","","","","","","",0,0,""
"15",15,2014-08-17,"10:38:00","HB",0,1,0,2,"W2","","","","","","",0,-1,"ID11:1 "
"16",16,2014-08-17,"10:42:00","HB",0,1,0,1,"E3","","","","","","",0,-1,"ID17:1 "
"17",17,2014-08-17,"10:56:00","HB",4,4,0,2,"E1","","","","","","",1,0,"ID16:-1 "
"18",18,2014-08-17,"10:58:00","HB_AD",4,4,0,2,"E1","","","","","","",0,0,""
"19",19,2014-08-17,"11:03:00","HB",4,4,0,1,"E2","","","","","","",0,0,""
"20",20,2014-08-17,"11:05:00","BootedE",1,1,0,1,"O","nonjuv","","d","","","",0,0,""
"21",21,2014-08-17,"11:10:00","HB",3,3,0,1,"W1","","","","","","",0,0,""
"22",22,2014-08-17,"11:11:00","HB_AD",2,2,0,1,"W1","","m","","","","",0,0,""
"23",23,2014-08-17,"11:12:00","HB",1,1,0,1,"O","","","","","","",0,0,""
"24",24,2014-08-17,"11:12:00","HB_AD",1,1,0,1,"W1","","f","","","","",0,0,""
"25",25,2014-08-17,"11:12:00","HB_AD",1,1,0,1,"O","","m","","","","",0,0,""
"26",26,2014-08-17,"11:18:00","ShortTE",1,1,0,2,"W1","ad","","","","","",0,0,""
"27",27,2014-08-17,"11:19:00","Mar",1,1,0,2,"W1","nonjuv","f","","","","",0,0,""
"28",28,2014-08-17,"11:24:00","HB",2,2,0,1,"E3","","","","sc","","",0,0,""
"29",29,2014-08-17,"11:31:00","Mar",1,1,0,1,"E2","nonjuv","f","","","","",0,0,""
"30",30,2014-08-17,"11:51:00","HB",39,39,0,1,"E2","","","","","","",13,0,"ID32:-5 ID37:-6 ID39:-2 "
"31",31,2014-08-17,"11:53:00","HB",10,10,0,1,"E2","","","","","","",0,0,""
"32",32,2014-08-17,"11:54:00","HB",0,5,0,2,"W2","","","","","","",0,-5,"ID30:5 "
"33",33,2014-08-17,"11:54:00","Mon",1,1,0,1,"W1","ad","m","","","","",0,0,""
"34",34,2014-08-17,"11:59:00","HB",18,18,0,1,"E3","","","","","","",0,0,""
"35",35,2014-08-17,"11:59:00","StepBuz",1,1,0,2,"E1","","","","","","",0,0,""
"36",36,2014-08-17,"12:03:00","HB",9,9,0,1,"E2","","","","","","",9,0,"ID42:-9 "
"37",37,2014-08-17,"12:05:00","HB",0,6,0,2,"W2","","","","","","",0,-6,"ID30:6 "
"38",38,2014-08-17,"12:05:00","StepBuz",1,1,0,2,"W1","","","","","","",0,0,""
"39",39,2014-08-17,"12:06:00","HB",0,2,0,2,"W2","","","","","","",0,-2,"ID30:2 "
"40",40,2014-08-17,"12:07:00","BlackKite",1,1,0,2,"W2","","","","","","",0,0,""
"41",41,2014-08-17,"12:14:00","HB",1,1,0,1,"E2","","","","","","",1,0,"ID42:-1 "
"42",42,2014-08-17,"12:15:00","HB",5,15,0,2,"W2","","","","","","",0,-10,"ID36:9 ID41:1 "
"43",43,2014-08-17,"12:16:00","HB",1,1,0,1,"O","","","","","","",0,0,""
"44",44,2014-08-17,"12:16:00","HB_AD",1,1,0,1,"O","","f","","","","",0,0,""
"45",45,2014-08-17,"12:20:00","BlackKite",3,3,0,2,"E3","","","","","","",0,0,""
"46",46,2014-08-17,"12:22:00","HB",3,3,0,2,"W1","","","","","","",0,0,""
"47",47,2014-08-17,"12:23:00","BlackKite",1,1,0,2,"O","","","","","","",1,0,"ID55:-1 "
"48",48,2014-08-17,"12:23:00","HB",1,1,0,2,"O","","","","","","",0,0,""
"49",49,2014-08-17,"12:24:00","BlackKite",1,1,0,2,"W2","","","","","","",1,0,"ID52:-1 "
"50",50,2014-08-17,"12:25:00","BK_JUV",1,1,0,2,"O","","","","","","",0,0,""
"51",51,2014-08-17,"12:25:00","HB_AD",1,1,0,2,"O","","f","","","","",0,0,""
"52",52,2014-08-17,"12:25:00","MediumRaptor",0,1,0,1,"E3","","","","","","",0,-1,"ID49:1 "
"53",53,2014-08-17,"12:27:00","HB",1,1,0,1,"O","","","","","","",0,0,""
"54",54,2014-08-17,"12:29:00","HB_AD",1,1,0,1,"O","","m","","","","",0,0,""
"55",55,2014-08-17,"12:30:00","BlackKite",3,5,0,1,"E3","","","","","","",0,-2,"ID61:1 ID47:1 "
"56",56,2014-08-17,"12:30:00","HB",0,1,0,1,"E3","","","","","","",0,-1,"ID58:1 "
"57",57,2014-08-17,"12:34:00","HB",2,2,0,1,"E2","","","","","","",2,0,"ID70:-2 "
"58",58,2014-08-17,"12:34:00","HB",10,10,0,2,"E1","","","","","","",1,0,"ID56:-1 "
"59",59,2014-08-17,"12:34:00","HB_AD",10,10,0,2,"E1","","","","","","",0,0,""
