"","id","date","time","species","number_new","number_ori","numberN","station","location","age","sex","morph","ctype","mtype","remark","dckept","dcdel","dcremark"
"1",1,2012-08-17,"08:43:00","Peregrine",1,1,0,1,"W2","imm","","","","","",0,0,""
"2",2,2012-08-17,"14:19:00","HB",1,1,0,1,"E1","","","","","","",0,0,""
"3",3,2012-08-17,"14:54:00","Pal",1,1,0,1,"W2","juv","","","","","",0,0,""
"4",4,2012-08-17,"16:21:00","Roller",11,11,0,1,"W1","","","","","","",0,0,""
"5",5,2012-08-18,"07:43:00","Mar",1,1,0,1,"E3","nonjuv","m","","","","",0,0,""
"6",6,2012-08-18,"07:44:00","Mar",1,1,0,1,"E3","","fc","","","","",0,0,""
"7",7,2012-08-18,"07:51:00","Roller",5,5,0,1,"E2","","","","","","",0,0,""
"8",8,2012-08-18,"07:54:00","Roller",2,2,0,1,"E1","","","","","","",0,0,""
"9",9,2012-08-18,"08:06:00","Mar",1,1,0,1,"W1","ad","m","","","","",0,0,""
"10",10,2012-08-18,"08:17:00","MonPalHen",1,1,0,2,"E2","nonjuv","f","","","","",0,0,""
"11",11,2012-08-18,"08:25:00","Mar",1,1,0,2,"W2","juv","","","","","",0,0,""
"12",12,2012-08-18,"08:29:00","HB",2,3,0,2,"W2","","","","","","",0,-1,"ID15:1 "
"13",13,2012-08-18,"08:30:00","Mar",1,1,0,1,"E3","","fc","","","","",0,0,""
"14",14,2012-08-18,"08:30:00","Mar",1,1,0,1,"E3","nonjuv","m","","","","",0,0,""
"15",15,2012-08-18,"08:32:00","HB",1,1,0,1,"E3","ad","m","","","","",1,0,"ID12:-1 "
"16",16,2012-08-18,"08:36:00","Mar",1,1,0,1,"E2","","fc","","","","",0,0,""
"17",17,2012-08-18,"08:45:00","HB",1,1,0,2,"E3","","","","","","",0,0,""
"18",18,2012-08-18,"08:50:00","HB",1,1,0,2,"E3","","","","","","",0,0,""
"19",19,2012-08-18,"09:02:00","Mar",1,1,0,1,"W2","ad","f","","","","",0,0,""
"20",20,2012-08-18,"09:14:00","Mar",1,1,0,1,"W2","nonjuv","f","","","","",0,0,""
"21",21,2012-08-18,"09:48:00","ShortTE",1,1,0,2,"E1","ad","","","","","",0,0,""
"22",22,2012-08-18,"09:55:00","HB",3,3,0,2,"E2","","","","","","",0,0,""
"23",23,2012-08-18,"09:58:00","BootedE",1,1,0,2,"W1","nonjuv","","l","","","",0,0,""
"24",24,2012-08-18,"10:14:00","HB",1,1,0,2,"E2","","","","","","",0,0,""
"25",25,2012-08-18,"10:31:00","Roller",12,12,0,1,"W1","","","","","","",0,0,""
"26",26,2012-08-18,"10:34:00","HB",0,1,0,1,"E3","","","","","","",0,-1,"ID30:1 "
"27",27,2012-08-18,"10:38:00","HB",1,1,0,1,"E3","","","","","","",0,0,""
"28",28,2012-08-18,"10:38:00","HB",1,1,0,1,"E3","","","","","","",0,0,""
"29",29,2012-08-18,"10:38:00","ShortTE",1,1,0,1,"E3","","","","","","",0,0,""
"30",30,2012-08-18,"10:46:00","HB",1,1,0,2,"E2","","","","","","",1,0,"ID26:-1 "
"31",31,2012-08-18,"10:47:00","Mar",1,1,0,1,"E3","","","","","","",0,0,""
"32",32,2012-08-18,"10:52:00","HB",2,2,0,1,"E2","","","","","","",0,0,""
"33",33,2012-08-18,"11:14:00","HB",4,5,0,1,"E3","","","","","","",0,-1,"ID34:1 "
"34",34,2012-08-18,"11:15:00","HB",1,1,0,2,"E2","","","","","","",1,0,"ID33:-1 "
"35",35,2012-08-18,"11:34:00","BlaStork",2,2,0,2,"W2","juv","","","","","",0,0,""
"36",36,2012-08-18,"11:35:00","BlaStork",2,2,0,2,"W2","ad","","","","","",0,0,""
"37",37,2012-08-18,"11:43:00","HB",4,4,0,1,"E2","ad","","","","","",0,0,""
"38",38,2012-08-18,"11:48:00","BootedE",1,1,0,1,"E2","nonjuv","","d","","","",0,0,""
"39",39,2012-08-18,"11:51:00","ShortTE",2,2,0,1,"E2","","","","","","",0,0,""
